snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2007/07/16 00:00:00,2007-07-15T16:00:00,"{'bid': 13778.0, 'ask': 13778.0, 'lastTraded': None}","{'bid': 13772.0, 'ask': 13772.0, 'lastTraded': None}","{'bid': 13803.0, 'ask': 13803.0, 'lastTraded': None}","{'bid': 13758.0, 'ask': 13758.0, 'lastTraded': None}",0
2007/07/17 00:00:00,2007-07-16T16:00:00,"{'bid': 13772.0, 'ask': 13772.0, 'lastTraded': None}","{'bid': 13781.0, 'ask': 13781.0, 'lastTraded': None}","{'bid': 13799.0, 'ask': 13799.0, 'lastTraded': None}","{'bid': 13756.0, 'ask': 13756.0, 'lastTraded': None}",0
2007/07/18 00:00:00,2007-07-17T16:00:00,"{'bid': 13781.0, 'ask': 13781.0, 'lastTraded': None}","{'bid': 13804.0, 'ask': 13804.0, 'lastTraded': None}","{'bid': 13833.0, 'ask': 13833.0, 'lastTraded': None}","{'bid': 13751.0, 'ask': 13751.0, 'lastTraded': None}",0
2007/07/19 00:00:00,2007-07-18T16:00:00,"{'bid': 13804.0, 'ask': 13804.0, 'lastTraded': None}","{'bid': 13796.0, 'ask': 13796.0, 'lastTraded': None}","{'bid': 13831.0, 'ask': 13831.0, 'lastTraded': None}","{'bid': 13784.0, 'ask': 13784.0, 'lastTraded': None}",0
2007/07/20 00:00:00,2007-07-19T16:00:00,"{'bid': 13796.0, 'ask': 13796.0, 'lastTraded': None}","{'bid': 13836.0, 'ask': 13836.0, 'lastTraded': None}","{'bid': 13843.0, 'ask': 13843.0, 'lastTraded': None}","{'bid': 13778.0, 'ask': 13778.0, 'lastTraded': None}",0
2007/07/23 00:00:00,2007-07-22T16:00:00,"{'bid': 13836.0, 'ask': 13836.0, 'lastTraded': None}","{'bid': 13807.0, 'ask': 13807.0, 'lastTraded': None}","{'bid': 13844.0, 'ask': 13844.0, 'lastTraded': None}","{'bid': 13794.0, 'ask': 13794.0, 'lastTraded': None}",0
2007/07/24 00:00:00,2007-07-23T16:00:00,"{'bid': 13807.0, 'ask': 13807.0, 'lastTraded': None}","{'bid': 13826.0, 'ask': 13826.0, 'lastTraded': None}","{'bid': 13852.0, 'ask': 13852.0, 'lastTraded': None}","{'bid': 13797.0, 'ask': 13797.0, 'lastTraded': None}",0
2007/07/25 00:00:00,2007-07-24T16:00:00,"{'bid': 13826.0, 'ask': 13826.0, 'lastTraded': None}","{'bid': 13724.0, 'ask': 13724.0, 'lastTraded': None}","{'bid': 13829.0, 'ask': 13829.0, 'lastTraded': None}","{'bid': 13695.0, 'ask': 13695.0, 'lastTraded': None}",0
2007/07/26 00:00:00,2007-07-25T16:00:00,"{'bid': 13724.0, 'ask': 13724.0, 'lastTraded': None}","{'bid': 13736.0, 'ask': 13736.0, 'lastTraded': None}","{'bid': 13771.0, 'ask': 13771.0, 'lastTraded': None}","{'bid': 13690.0, 'ask': 13690.0, 'lastTraded': None}",0
2007/07/27 00:00:00,2007-07-26T16:00:00,"{'bid': 13736.0, 'ask': 13736.0, 'lastTraded': None}","{'bid': 13613.0, 'ask': 13613.0, 'lastTraded': None}","{'bid': 13753.0, 'ask': 13753.0, 'lastTraded': None}","{'bid': 13626.0, 'ask': 13626.0, 'lastTraded': None}",0
2007/07/30 00:00:00,2007-07-29T16:00:00,"{'bid': 13613.0, 'ask': 13613.0, 'lastTraded': None}","{'bid': 13694.0, 'ask': 13694.0, 'lastTraded': None}","{'bid': 13705.0, 'ask': 13705.0, 'lastTraded': None}","{'bid': 13608.0, 'ask': 13608.0, 'lastTraded': None}",0
