snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2010/08/09 00:00:00,2010-08-08T16:00:00,"{'bid': 13294.1, 'ask': 13296.1, 'lastTraded': None}","{'bid': 13239.8, 'ask': 13241.8, 'lastTraded': None}","{'bid': 13307.1, 'ask': 13309.1, 'lastTraded': None}","{'bid': 13227.3, 'ask': 13229.3, 'lastTraded': None}",36122
2010/08/10 00:00:00,2010-08-09T16:00:00,"{'bid': 13239.7, 'ask': 13241.7, 'lastTraded': None}","{'bid': 13093.3, 'ask': 13095.3, 'lastTraded': None}","{'bid': 13245.1, 'ask': 13246.8, 'lastTraded': None}","{'bid': 13073.9, 'ask': 13074.9, 'lastTraded': None}",52585
2010/08/11 00:00:00,2010-08-10T16:00:00,"{'bid': 13093.1, 'ask': 13095.1, 'lastTraded': None}","{'bid': 12897.3, 'ask': 12899.3, 'lastTraded': None}","{'bid': 13227.5, 'ask': 13229.5, 'lastTraded': None}","{'bid': 12865.8, 'ask': 12867.6, 'lastTraded': None}",66365
2010/08/12 00:00:00,2010-08-11T16:00:00,"{'bid': 12897.2, 'ask': 12899.2, 'lastTraded': None}","{'bid': 12864.3, 'ask': 12866.3, 'lastTraded': None}","{'bid': 12931.7, 'ask': 12933.7, 'lastTraded': None}","{'bid': 12779.6, 'ask': 12781.3, 'lastTraded': None}",68408
2010/08/13 00:00:00,2010-08-12T16:00:00,"{'bid': 12864.1, 'ask': 12866.1, 'lastTraded': None}","{'bid': 12765.6, 'ask': 12767.6, 'lastTraded': None}","{'bid': 12905.6, 'ask': 12906.7, 'lastTraded': None}","{'bid': 12751.6, 'ask': 12753.6, 'lastTraded': None}",59707
2010/08/16 00:00:00,2010-08-15T16:00:00,"{'bid': 12765.5, 'ask': 12767.5, 'lastTraded': None}","{'bid': 12836.2, 'ask': 12838.2, 'lastTraded': None}","{'bid': 12870.4, 'ask': 12872.4, 'lastTraded': None}","{'bid': 12733.3, 'ask': 12734.8, 'lastTraded': None}",48805
2010/08/17 00:00:00,2010-08-16T16:00:00,"{'bid': 12836.4, 'ask': 12838.4, 'lastTraded': None}","{'bid': 12888.0, 'ask': 12890.0, 'lastTraded': None}","{'bid': 12915.0, 'ask': 12917.0, 'lastTraded': None}","{'bid': 12803.5, 'ask': 12805.5, 'lastTraded': None}",59890
2010/08/18 00:00:00,2010-08-17T16:00:00,"{'bid': 12888.1, 'ask': 12890.1, 'lastTraded': None}","{'bid': 12870.7, 'ask': 12872.7, 'lastTraded': None}","{'bid': 12921.4, 'ask': 12923.4, 'lastTraded': None}","{'bid': 12823.0, 'ask': 12824.4, 'lastTraded': None}",54904
2010/08/19 00:00:00,2010-08-18T16:00:00,"{'bid': 12870.6, 'ask': 12872.6, 'lastTraded': None}","{'bid': 12836.1, 'ask': 12837.1, 'lastTraded': None}","{'bid': 12901.5, 'ask': 12903.5, 'lastTraded': None}","{'bid': 12771.3, 'ask': 12772.6, 'lastTraded': None}",64959
2010/08/20 00:00:00,2010-08-19T16:00:00,"{'bid': 12835.5, 'ask': 12837.5, 'lastTraded': None}","{'bid': 12685.6, 'ask': 12687.6, 'lastTraded': None}","{'bid': 12837.2, 'ask': 12838.2, 'lastTraded': None}","{'bid': 12663.0, 'ask': 12664.7, 'lastTraded': None}",77846
2010/08/23 00:00:00,2010-08-22T16:00:00,"{'bid': 12702.5, 'ask': 12706.5, 'lastTraded': None}","{'bid': 12661.1, 'ask': 12663.1, 'lastTraded': None}","{'bid': 12728.8, 'ask': 12730.4, 'lastTraded': None}","{'bid': 12646.3, 'ask': 12647.8, 'lastTraded': None}",79071
2010/08/24 00:00:00,2010-08-23T16:00:00,"{'bid': 12661.2, 'ask': 12663.2, 'lastTraded': None}","{'bid': 12673.7, 'ask': 12675.7, 'lastTraded': None}","{'bid': 12717.9, 'ask': 12719.8, 'lastTraded': None}","{'bid': 12586.9, 'ask': 12588.5, 'lastTraded': None}",111152
2010/08/25 00:00:00,2010-08-24T16:00:00,"{'bid': 12673.6, 'ask': 12675.6, 'lastTraded': None}","{'bid': 12650.8, 'ask': 12652.8, 'lastTraded': None}","{'bid': 12726.3, 'ask': 12727.3, 'lastTraded': None}","{'bid': 12608.1, 'ask': 12609.1, 'lastTraded': None}",120682
2010/08/26 00:00:00,2010-08-25T16:00:00,"{'bid': 12650.7, 'ask': 12652.7, 'lastTraded': None}","{'bid': 12715.5, 'ask': 12717.5, 'lastTraded': None}","{'bid': 12763.6, 'ask': 12765.5, 'lastTraded': None}","{'bid': 12645.8, 'ask': 12647.8, 'lastTraded': None}",114342
2010/08/27 00:00:00,2010-08-26T16:00:00,"{'bid': 12715.7, 'ask': 12717.7, 'lastTraded': None}","{'bid': 12763.5, 'ask': 12765.5, 'lastTraded': None}","{'bid': 12779.1, 'ask': 12780.3, 'lastTraded': None}","{'bid': 12675.9, 'ask': 12676.9, 'lastTraded': None}",105127
2010/08/30 00:00:00,2010-08-29T16:00:00,"{'bid': 12765.4, 'ask': 12767.4, 'lastTraded': None}","{'bid': 12685.4, 'ask': 12686.4, 'lastTraded': None}","{'bid': 12767.5, 'ask': 12770.9, 'lastTraded': None}","{'bid': 12670.3, 'ask': 12672.3, 'lastTraded': None}",62131
2010/08/31 00:00:00,2010-08-30T16:00:00,"{'bid': 12684.9, 'ask': 12685.9, 'lastTraded': None}","{'bid': 12701.9, 'ask': 12703.9, 'lastTraded': None}","{'bid': 12742.2, 'ask': 12744.2, 'lastTraded': None}","{'bid': 12624.6, 'ask': 12626.1, 'lastTraded': None}",101429
2010/09/01 00:00:00,2010-08-31T16:00:00,"{'bid': 12701.8, 'ask': 12703.8, 'lastTraded': None}","{'bid': 12810.7, 'ask': 12812.7, 'lastTraded': None}","{'bid': 12854.9, 'ask': 12856.8, 'lastTraded': None}","{'bid': 12660.6, 'ask': 12661.9, 'lastTraded': None}",110355
