snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2021/05/01 00:00:00,2021-04-30T16:00:00,"{'bid': 12029.7, 'ask': 12030.3, 'lastTraded': None}","{'bid': 12017.7, 'ask': 12023.7, 'lastTraded': None}","{'bid': 12035.6, 'ask': 12036.3, 'lastTraded': None}","{'bid': 12016.2, 'ask': 12017.0, 'lastTraded': None}",16366
2021/05/03 00:00:00,2021-05-02T16:00:00,"{'bid': 12029.5, 'ask': 12034.6, 'lastTraded': None}","{'bid': 12058.3, 'ask': 12059.2, 'lastTraded': None}","{'bid': 12075.7, 'ask': 12076.3, 'lastTraded': None}","{'bid': 12012.6, 'ask': 12013.5, 'lastTraded': None}",59764
2021/05/04 00:00:00,2021-05-03T16:00:00,"{'bid': 12058.1, 'ask': 12059.0, 'lastTraded': None}","{'bid': 12014.0, 'ask': 12014.6, 'lastTraded': None}","{'bid': 12066.9, 'ask': 12068.3, 'lastTraded': None}","{'bid': 11998.7, 'ask': 11999.4, 'lastTraded': None}",92405
2021/05/05 00:00:00,2021-05-04T16:00:00,"{'bid': 12014.2, 'ask': 12014.8, 'lastTraded': None}","{'bid': 12001.7, 'ask': 12002.3, 'lastTraded': None}","{'bid': 12026.4, 'ask': 12027.0, 'lastTraded': None}","{'bid': 11985.7, 'ask': 11986.3, 'lastTraded': None}",103877
2021/05/06 00:00:00,2021-05-05T16:00:00,"{'bid': 12001.6, 'ask': 12002.5, 'lastTraded': None}","{'bid': 12048.8, 'ask': 12049.4, 'lastTraded': None}","{'bid': 12071.4, 'ask': 12072.1, 'lastTraded': None}","{'bid': 11990.9, 'ask': 11991.5, 'lastTraded': None}",86108
2021/05/07 00:00:00,2021-05-06T16:00:00,"{'bid': 12048.6, 'ask': 12049.5, 'lastTraded': None}","{'bid': 12164.4, 'ask': 12165.3, 'lastTraded': None}","{'bid': 12164.8, 'ask': 12165.5, 'lastTraded': None}","{'bid': 12043.6, 'ask': 12044.5, 'lastTraded': None}",111614
2021/05/08 00:00:00,2021-05-07T16:00:00,"{'bid': 12164.3, 'ask': 12165.2, 'lastTraded': None}","{'bid': 12163.1, 'ask': 12164.0, 'lastTraded': None}","{'bid': 12171.2, 'ask': 12171.9, 'lastTraded': None}","{'bid': 12140.9, 'ask': 12141.7, 'lastTraded': None}",22513
2021/05/10 00:00:00,2021-05-09T16:00:00,"{'bid': 12157.0, 'ask': 12169.0, 'lastTraded': None}","{'bid': 12169.3, 'ask': 12170.2, 'lastTraded': None}","{'bid': 12177.9, 'ask': 12179.3, 'lastTraded': None}","{'bid': 12136.2, 'ask': 12137.0, 'lastTraded': None}",96370
2021/05/11 00:00:00,2021-05-10T16:00:00,"{'bid': 12169.2, 'ask': 12170.1, 'lastTraded': None}","{'bid': 12168.7, 'ask': 12169.6, 'lastTraded': None}","{'bid': 12181.4, 'ask': 12182.0, 'lastTraded': None}","{'bid': 12122.7, 'ask': 12123.4, 'lastTraded': None}",115637
2021/05/12 00:00:00,2021-05-11T16:00:00,"{'bid': 12168.8, 'ask': 12169.7, 'lastTraded': None}","{'bid': 12073.0, 'ask': 12073.6, 'lastTraded': None}","{'bid': 12170.5, 'ask': 12171.3, 'lastTraded': None}","{'bid': 12065.5, 'ask': 12066.1, 'lastTraded': None}",137676
2021/05/13 00:00:00,2021-05-12T16:00:00,"{'bid': 12073.1, 'ask': 12073.7, 'lastTraded': None}","{'bid': 12069.2, 'ask': 12069.8, 'lastTraded': None}","{'bid': 12105.9, 'ask': 12106.6, 'lastTraded': None}","{'bid': 12051.0, 'ask': 12051.9, 'lastTraded': None}",150830
