snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2013/08/31 00:00:00,2013-08-30T16:00:00,"{'bid': 13195.6, 'ask': 13196.6, 'lastTraded': None}","{'bid': 13221.8, 'ask': 13222.8, 'lastTraded': None}","{'bid': 13224.2, 'ask': 13225.7, 'lastTraded': None}","{'bid': 13193.3, 'ask': 13194.6, 'lastTraded': None}",11462
2013/09/02 00:00:00,2013-09-01T16:00:00,"{'bid': 13216.6, 'ask': 13222.4, 'lastTraded': None}","{'bid': 13190.0, 'ask': 13191.7, 'lastTraded': None}","{'bid': 13226.8, 'ask': 13227.8, 'lastTraded': None}","{'bid': 13183.3, 'ask': 13184.3, 'lastTraded': None}",51606
2013/09/03 00:00:00,2013-09-02T16:00:00,"{'bid': 13190.2, 'ask': 13191.2, 'lastTraded': None}","{'bid': 13162.9, 'ask': 13163.9, 'lastTraded': None}","{'bid': 13198.4, 'ask': 13199.4, 'lastTraded': None}","{'bid': 13138.1, 'ask': 13139.1, 'lastTraded': None}",70874
2013/09/04 00:00:00,2013-09-03T16:00:00,"{'bid': 13163.0, 'ask': 13164.0, 'lastTraded': None}","{'bid': 13211.3, 'ask': 13213.0, 'lastTraded': None}","{'bid': 13217.4, 'ask': 13218.8, 'lastTraded': None}","{'bid': 13156.4, 'ask': 13157.4, 'lastTraded': None}",69999
2013/09/05 00:00:00,2013-09-04T16:00:00,"{'bid': 13211.7, 'ask': 13212.7, 'lastTraded': None}","{'bid': 13119.0, 'ask': 13120.0, 'lastTraded': None}","{'bid': 13223.0, 'ask': 13224.0, 'lastTraded': None}","{'bid': 13110.1, 'ask': 13111.1, 'lastTraded': None}",96374
2013/09/06 00:00:00,2013-09-05T16:00:00,"{'bid': 13119.1, 'ask': 13120.1, 'lastTraded': None}","{'bid': 13165.4, 'ask': 13166.4, 'lastTraded': None}","{'bid': 13188.7, 'ask': 13189.7, 'lastTraded': None}","{'bid': 13104.2, 'ask': 13105.4, 'lastTraded': None}",83310
2013/09/07 00:00:00,2013-09-06T16:00:00,"{'bid': 13165.5, 'ask': 13166.5, 'lastTraded': None}","{'bid': 13176.7, 'ask': 13179.5, 'lastTraded': None}","{'bid': 13184.2, 'ask': 13185.5, 'lastTraded': None}","{'bid': 13160.1, 'ask': 13161.1, 'lastTraded': None}",9531
2013/09/09 00:00:00,2013-09-08T16:00:00,"{'bid': 13166.2, 'ask': 13169.2, 'lastTraded': None}","{'bid': 13258.9, 'ask': 13259.9, 'lastTraded': None}","{'bid': 13262.8, 'ask': 13264.1, 'lastTraded': None}","{'bid': 13158.8, 'ask': 13161.7, 'lastTraded': None}",54967
2013/09/10 00:00:00,2013-09-09T16:00:00,"{'bid': 13258.8, 'ask': 13259.8, 'lastTraded': None}","{'bid': 13259.8, 'ask': 13260.8, 'lastTraded': None}","{'bid': 13280.5, 'ask': 13281.5, 'lastTraded': None}","{'bid': 13229.8, 'ask': 13231.0, 'lastTraded': None}",71207
2013/09/11 00:00:00,2013-09-10T16:00:00,"{'bid': 13259.4, 'ask': 13261.1, 'lastTraded': None}","{'bid': 13299.9, 'ask': 13300.9, 'lastTraded': None}","{'bid': 13313.8, 'ask': 13315.0, 'lastTraded': None}","{'bid': 13243.1, 'ask': 13244.4, 'lastTraded': None}",71579
2013/09/12 00:00:00,2013-09-11T16:00:00,"{'bid': 13299.6, 'ask': 13300.6, 'lastTraded': None}","{'bid': 13313.8, 'ask': 13314.8, 'lastTraded': None}","{'bid': 13324.3, 'ask': 13325.3, 'lastTraded': None}","{'bid': 13255.2, 'ask': 13256.2, 'lastTraded': None}",80697
2013/09/13 00:00:00,2013-09-12T16:00:00,"{'bid': 13313.7, 'ask': 13314.7, 'lastTraded': None}","{'bid': 13274.8, 'ask': 13275.8, 'lastTraded': None}","{'bid': 13323.2, 'ask': 13324.3, 'lastTraded': None}","{'bid': 13253.3, 'ask': 13254.3, 'lastTraded': None}",79588
2013/09/14 00:00:00,2013-09-13T16:00:00,"{'bid': 13274.9, 'ask': 13275.9, 'lastTraded': None}","{'bid': 13293.3, 'ask': 13295.0, 'lastTraded': None}","{'bid': 13309.5, 'ask': 13310.5, 'lastTraded': None}","{'bid': 13274.7, 'ask': 13275.7, 'lastTraded': None}",9236
2013/09/16 00:00:00,2013-09-15T16:00:00,"{'bid': 13302.6, 'ask': 13305.4, 'lastTraded': None}","{'bid': 13348.4, 'ask': 13349.4, 'lastTraded': None}","{'bid': 13385.2, 'ask': 13386.5, 'lastTraded': None}","{'bid': 13302.6, 'ask': 13305.4, 'lastTraded': None}",62447
