snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2016/12/08 23:00:00,2016-12-08T16:00:00,"{'bid': 10614.9, 'ask': 10615.5, 'lastTraded': None}","{'bid': 10534.6, 'ask': 10535.2, 'lastTraded': None}","{'bid': 10631.3, 'ask': 10631.9, 'lastTraded': None}","{'bid': 10534.5, 'ask': 10535.1, 'lastTraded': None}",225645
2016/12/09 23:00:00,2016-12-09T16:00:00,"{'bid': 10535.0, 'ask': 10535.6, 'lastTraded': None}","{'bid': 10557.3, 'ask': 10560.6, 'lastTraded': None}","{'bid': 10561.2, 'ask': 10562.7, 'lastTraded': None}","{'bid': 10530.6, 'ask': 10531.2, 'lastTraded': None}",39572
2016/12/11 23:00:00,2016-12-11T16:00:00,"{'bid': 10529.7, 'ask': 10535.2, 'lastTraded': None}","{'bid': 10608.1, 'ask': 10608.7, 'lastTraded': None}","{'bid': 10625.6, 'ask': 10626.2, 'lastTraded': None}","{'bid': 10524.8, 'ask': 10525.8, 'lastTraded': None}",173580
2016/12/12 23:00:00,2016-12-12T16:00:00,"{'bid': 10608.2, 'ask': 10608.8, 'lastTraded': None}","{'bid': 10639.0, 'ask': 10639.6, 'lastTraded': None}","{'bid': 10654.8, 'ask': 10655.6, 'lastTraded': None}","{'bid': 10590.6, 'ask': 10591.2, 'lastTraded': None}",212147
2016/12/13 23:00:00,2016-12-13T16:00:00,"{'bid': 10638.9, 'ask': 10639.5, 'lastTraded': None}","{'bid': 10649.5, 'ask': 10650.1, 'lastTraded': None}","{'bid': 10667.0, 'ask': 10667.6, 'lastTraded': None}","{'bid': 10611.9, 'ask': 10612.5, 'lastTraded': None}",177668
2016/12/14 23:00:00,2016-12-14T16:00:00,"{'bid': 10649.6, 'ask': 10650.2, 'lastTraded': None}","{'bid': 10414.8, 'ask': 10415.4, 'lastTraded': None}","{'bid': 10669.7, 'ask': 10670.3, 'lastTraded': None}","{'bid': 10394.9, 'ask': 10395.5, 'lastTraded': None}",344809
2016/12/15 23:00:00,2016-12-15T16:00:00,"{'bid': 10414.9, 'ask': 10415.5, 'lastTraded': None}","{'bid': 10409.7, 'ask': 10410.3, 'lastTraded': None}","{'bid': 10472.0, 'ask': 10472.6, 'lastTraded': None}","{'bid': 10366.1, 'ask': 10366.7, 'lastTraded': None}",254237
2016/12/16 23:00:00,2016-12-16T16:00:00,"{'bid': 10409.6, 'ask': 10410.2, 'lastTraded': None}","{'bid': 10450.0, 'ask': 10452.0, 'lastTraded': None}","{'bid': 10474.0, 'ask': 10475.0, 'lastTraded': None}","{'bid': 10408.7, 'ask': 10409.3, 'lastTraded': None}",72930
2016/12/18 23:00:00,2016-12-18T16:00:00,"{'bid': 10449.7, 'ask': 10455.7, 'lastTraded': None}","{'bid': 10434.6, 'ask': 10435.2, 'lastTraded': None}","{'bid': 10479.3, 'ask': 10480.3, 'lastTraded': None}","{'bid': 10410.7, 'ask': 10411.7, 'lastTraded': None}",198246
2016/12/19 23:00:00,2016-12-19T16:00:00,"{'bid': 10434.7, 'ask': 10435.3, 'lastTraded': None}","{'bid': 10376.6, 'ask': 10377.2, 'lastTraded': None}","{'bid': 10451.9, 'ask': 10452.9, 'lastTraded': None}","{'bid': 10351.6, 'ask': 10352.6, 'lastTraded': None}",276407
2016/12/20 23:00:00,2016-12-20T16:00:00,"{'bid': 10376.7, 'ask': 10377.3, 'lastTraded': None}","{'bid': 10432.2, 'ask': 10433.7, 'lastTraded': None}","{'bid': 10451.0, 'ask': 10451.9, 'lastTraded': None}","{'bid': 10371.2, 'ask': 10371.8, 'lastTraded': None}",236108
2016/12/21 23:00:00,2016-12-21T16:00:00,"{'bid': 10432.3, 'ask': 10433.8, 'lastTraded': None}","{'bid': 10458.1, 'ask': 10458.7, 'lastTraded': None}","{'bid': 10499.4, 'ask': 10500.2, 'lastTraded': None}","{'bid': 10418.8, 'ask': 10420.0, 'lastTraded': None}",230415
