snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2006/01/26 23:00:00,2006-01-26T16:00:00,"{'bid': 12204.0, 'ask': 12204.0, 'lastTraded': None}","{'bid': 12105.0, 'ask': 12105.0, 'lastTraded': None}","{'bid': 12235.0, 'ask': 12235.0, 'lastTraded': None}","{'bid': 12084.0, 'ask': 12084.0, 'lastTraded': None}",0
2006/01/29 23:00:00,2006-01-29T16:00:00,"{'bid': 12105.0, 'ask': 12105.0, 'lastTraded': None}","{'bid': 12091.0, 'ask': 12091.0, 'lastTraded': None}","{'bid': 12115.0, 'ask': 12115.0, 'lastTraded': None}","{'bid': 12060.0, 'ask': 12060.0, 'lastTraded': None}",0
2006/01/30 23:00:00,2006-01-30T16:00:00,"{'bid': 12091.0, 'ask': 12091.0, 'lastTraded': None}","{'bid': 12132.0, 'ask': 12132.0, 'lastTraded': None}","{'bid': 12189.0, 'ask': 12189.0, 'lastTraded': None}","{'bid': 12075.0, 'ask': 12075.0, 'lastTraded': None}",0
2006/01/31 23:00:00,2006-01-31T16:00:00,"{'bid': 12152.0, 'ask': 12152.0, 'lastTraded': None}","{'bid': 12056.0, 'ask': 12056.0, 'lastTraded': None}","{'bid': 12165.0, 'ask': 12165.0, 'lastTraded': None}","{'bid': 12047.0, 'ask': 12047.0, 'lastTraded': None}",0
2006/02/01 23:00:00,2006-02-01T16:00:00,"{'bid': 12056.0, 'ask': 12056.0, 'lastTraded': None}","{'bid': 12090.0, 'ask': 12090.0, 'lastTraded': None}","{'bid': 12108.0, 'ask': 12108.0, 'lastTraded': None}","{'bid': 12030.0, 'ask': 12030.0, 'lastTraded': None}",0
2006/02/02 23:00:00,2006-02-02T16:00:00,"{'bid': 12090.0, 'ask': 12090.0, 'lastTraded': None}","{'bid': 12035.0, 'ask': 12035.0, 'lastTraded': None}","{'bid': 12112.0, 'ask': 12112.0, 'lastTraded': None}","{'bid': 11967.0, 'ask': 11967.0, 'lastTraded': None}",0
2006/02/05 23:00:00,2006-02-05T16:00:00,"{'bid': 12035.0, 'ask': 12035.0, 'lastTraded': None}","{'bid': 11965.0, 'ask': 11965.0, 'lastTraded': None}","{'bid': 12047.0, 'ask': 12047.0, 'lastTraded': None}","{'bid': 11943.0, 'ask': 11943.0, 'lastTraded': None}",0
2006/02/06 23:00:00,2006-02-06T16:00:00,"{'bid': 11965.0, 'ask': 11965.0, 'lastTraded': None}","{'bid': 11977.0, 'ask': 11977.0, 'lastTraded': None}","{'bid': 12015.0, 'ask': 12015.0, 'lastTraded': None}","{'bid': 11938.0, 'ask': 11938.0, 'lastTraded': None}",0
2006/02/07 23:00:00,2006-02-07T16:00:00,"{'bid': 11977.0, 'ask': 11977.0, 'lastTraded': None}","{'bid': 11962.0, 'ask': 11962.0, 'lastTraded': None}","{'bid': 11994.0, 'ask': 11994.0, 'lastTraded': None}","{'bid': 11921.0, 'ask': 11921.0, 'lastTraded': None}",0
2006/02/08 23:00:00,2006-02-08T16:00:00,"{'bid': 11962.0, 'ask': 11962.0, 'lastTraded': None}","{'bid': 11979.0, 'ask': 11979.0, 'lastTraded': None}","{'bid': 11995.0, 'ask': 11995.0, 'lastTraded': None}","{'bid': 11944.0, 'ask': 11944.0, 'lastTraded': None}",0
2006/02/09 23:00:00,2006-02-09T16:00:00,"{'bid': 11979.0, 'ask': 11979.0, 'lastTraded': None}","{'bid': 11900.0, 'ask': 11900.0, 'lastTraded': None}","{'bid': 12026.0, 'ask': 12026.0, 'lastTraded': None}","{'bid': 11890.0, 'ask': 11890.0, 'lastTraded': None}",0
2006/02/12 23:00:00,2006-02-12T16:00:00,"{'bid': 11900.0, 'ask': 11900.0, 'lastTraded': None}","{'bid': 11899.0, 'ask': 11899.0, 'lastTraded': None}","{'bid': 11922.0, 'ask': 11922.0, 'lastTraded': None}","{'bid': 11875.0, 'ask': 11875.0, 'lastTraded': None}",0
2006/02/13 23:00:00,2006-02-13T16:00:00,"{'bid': 11899.0, 'ask': 11899.0, 'lastTraded': None}","{'bid': 11914.0, 'ask': 11914.0, 'lastTraded': None}","{'bid': 11924.0, 'ask': 11924.0, 'lastTraded': None}","{'bid': 11855.0, 'ask': 11855.0, 'lastTraded': None}",0
2006/02/14 23:00:00,2006-02-14T16:00:00,"{'bid': 11914.0, 'ask': 11914.0, 'lastTraded': None}","{'bid': 11890.0, 'ask': 11890.0, 'lastTraded': None}","{'bid': 11954.0, 'ask': 11954.0, 'lastTraded': None}","{'bid': 11869.0, 'ask': 11869.0, 'lastTraded': None}",0
2006/02/15 23:00:00,2006-02-15T16:00:00,"{'bid': 11890.0, 'ask': 11890.0, 'lastTraded': None}","{'bid': 11903.0, 'ask': 11903.0, 'lastTraded': None}","{'bid': 11902.0, 'ask': 11902.0, 'lastTraded': None}","{'bid': 11845.0, 'ask': 11845.0, 'lastTraded': None}",0
2006/02/16 23:00:00,2006-02-16T16:00:00,"{'bid': 11903.0, 'ask': 11903.0, 'lastTraded': None}","{'bid': 11930.0, 'ask': 11930.0, 'lastTraded': None}","{'bid': 11943.0, 'ask': 11943.0, 'lastTraded': None}","{'bid': 11855.0, 'ask': 11855.0, 'lastTraded': None}",0
2006/02/19 23:00:00,2006-02-19T16:00:00,"{'bid': 11930.0, 'ask': 11930.0, 'lastTraded': None}","{'bid': 11935.0, 'ask': 11935.0, 'lastTraded': None}","{'bid': 11974.0, 'ask': 11974.0, 'lastTraded': None}","{'bid': 11921.0, 'ask': 11921.0, 'lastTraded': None}",0
2006/02/20 23:00:00,2006-02-20T16:00:00,"{'bid': 11935.0, 'ask': 11935.0, 'lastTraded': None}","{'bid': 11912.0, 'ask': 11912.0, 'lastTraded': None}","{'bid': 11942.0, 'ask': 11942.0, 'lastTraded': None}","{'bid': 11887.0, 'ask': 11887.0, 'lastTraded': None}",0
2006/02/21 23:00:00,2006-02-21T16:00:00,"{'bid': 11912.0, 'ask': 11912.0, 'lastTraded': None}","{'bid': 11910.0, 'ask': 11910.0, 'lastTraded': None}","{'bid': 11930.0, 'ask': 11930.0, 'lastTraded': None}","{'bid': 11858.0, 'ask': 11858.0, 'lastTraded': None}",0
