datetime,time,o,c,h,l,volumn
2006/02/06 23:00:00,2006-02-06T16:00:00,1.1965,1.1977,1.2015,1.1938,0
2006/02/07 23:00:00,2006-02-07T16:00:00,1.1977,1.1962,1.1994,1.1921,0
2006/02/08 23:00:00,2006-02-08T16:00:00,1.1962,1.1979,1.1995,1.1944,0
2006/02/09 23:00:00,2006-02-09T16:00:00,1.1979,1.19,1.2026,1.189,0
2006/02/12 23:00:00,2006-02-12T16:00:00,1.19,1.1899,1.1922,1.1875,0
2006/02/13 23:00:00,2006-02-13T16:00:00,1.1899,1.1914,1.1924,1.1855,0
2006/02/14 23:00:00,2006-02-14T16:00:00,1.1914,1.189,1.1954,1.1869,0
2006/02/15 23:00:00,2006-02-15T16:00:00,1.189,1.1903,1.1902,1.1845,0
2006/02/16 23:00:00,2006-02-16T16:00:00,1.1903,1.193,1.1943,1.1855,0
2006/02/19 23:00:00,2006-02-19T16:00:00,1.193,1.1935,1.1974,1.1921,0
2006/02/20 23:00:00,2006-02-20T16:00:00,1.1935,1.1912,1.1942,1.1887,0
2006/02/21 23:00:00,2006-02-21T16:00:00,1.1912,1.191,1.193,1.1858,0
2006/02/22 23:00:00,2006-02-22T16:00:00,1.191,1.1921,1.1971,1.1888,0
2006/02/23 23:00:00,2006-02-23T16:00:00,1.1921,1.1871,1.1934,1.1861,0
2006/02/26 23:00:00,2006-02-26T16:00:00,1.1871,1.1846,1.1879,1.1823,0
2006/02/27 23:00:00,2006-02-27T16:00:00,1.1846,1.18865,1.1941,1.1832,0
2006/02/28 23:00:00,2006-02-28T16:00:00,1.192,1.1916,1.1974,1.1889,0
2006/03/01 23:00:00,2006-03-01T16:00:00,1.1916,1.2037,1.2045,1.191,0
2006/03/02 23:00:00,2006-03-02T16:00:00,1.2037,1.2048,1.2052,1.1992,0
2006/03/05 23:00:00,2006-03-05T16:00:00,1.2048,1.2017,1.2093,1.1988,0
2006/03/06 23:00:00,2006-03-06T16:00:00,1.2017,1.1885,1.2022,1.1866,0
2006/03/07 23:00:00,2006-03-07T16:00:00,1.1885,1.1923,1.194,1.1869,0
2006/03/08 23:00:00,2006-03-08T16:00:00,1.1923,1.1911,1.1953,1.19,0
2006/03/09 23:00:00,2006-03-09T16:00:00,1.1911,1.1914,1.1933,1.1858,0
2006/03/12 23:00:00,2006-03-12T16:00:00,1.1914,1.1959,1.197,1.1908,0
2006/03/13 23:00:00,2006-03-13T16:00:00,1.1959,1.2011,1.2032,1.1935,0
2006/03/14 23:00:00,2006-03-14T16:00:00,1.2011,1.2068,1.2074,1.2003,0
2006/03/15 23:00:00,2006-03-15T16:00:00,1.2068,1.2175,1.2189,1.2032,0
2006/03/16 23:00:00,2006-03-16T16:00:00,1.2175,1.2183,1.2207,1.2138,0
2006/03/19 23:00:00,2006-03-19T16:00:00,1.2183,1.2167,1.2197,1.2145,0
2006/03/20 23:00:00,2006-03-20T16:00:00,1.2167,1.2092,1.2167,1.2072,0
2006/03/21 23:00:00,2006-03-21T16:00:00,1.2092,1.2074,1.2114,1.2062,0
2006/03/22 23:00:00,2006-03-22T16:00:00,1.2074,1.197,1.2081,1.1953,0
2006/03/23 23:00:00,2006-03-23T16:00:00,1.197,1.2037,1.2046,1.1948,0
2006/03/27 00:00:00,2006-03-26T16:00:00,1.2037,1.2012,1.2061,1.2001,0
2006/03/28 00:00:00,2006-03-27T16:00:00,1.2012,1.2,1.2109,1.199,0
2006/03/29 00:00:00,2006-03-28T16:00:00,1.2,1.2027,1.2049,1.1975,0
2006/03/30 00:00:00,2006-03-29T16:00:00,1.2027,1.2163,1.2169,1.2019,0
2006/03/31 00:00:00,2006-03-30T16:00:00,1.2163,1.21255,1.2175,1.2076,0
2006/04/03 00:00:00,2006-04-02T16:00:00,1.2119,1.2131,1.2148,1.2029,0
2006/04/04 00:00:00,2006-04-03T16:00:00,1.2131,1.2259,1.2277,1.2116,0
2006/04/05 00:00:00,2006-04-04T16:00:00,1.2259,1.2296,1.2306,1.2241,0
2006/04/06 00:00:00,2006-04-05T16:00:00,1.2296,1.222,1.2333,1.2195,0
2006/04/07 00:00:00,2006-04-06T16:00:00,1.222,1.2108,1.2225,1.2085,0
2006/04/10 00:00:00,2006-04-09T16:00:00,1.2108,1.2111,1.2129,1.2074,0
2006/04/11 00:00:00,2006-04-10T16:00:00,1.2111,1.214,1.2154,1.2088,0
2006/04/12 00:00:00,2006-04-11T16:00:00,1.214,1.2102,1.2168,1.2064,0
2006/04/12 00:00:00,2006-04-11T16:00:00,1.214,1.2102,1.2168,1.2064,0
2006/04/13 00:00:00,2006-04-12T16:00:00,1.2102,1.2106,1.2133,1.2063,0
2006/04/14 00:00:00,2006-04-13T16:00:00,1.2106,1.2122,1.2118,1.209,0
2006/04/17 00:00:00,2006-04-16T16:00:00,1.2122,1.2256,1.2289,1.212,0
2006/04/18 00:00:00,2006-04-17T16:00:00,1.2256,1.2357,1.236,1.2221,0
2006/04/19 00:00:00,2006-04-18T16:00:00,1.2357,1.2381,1.2394,1.2282,0
2006/04/20 00:00:00,2006-04-19T16:00:00,1.2381,1.2314,1.2381,1.2284,0
2006/04/21 00:00:00,2006-04-20T16:00:00,1.2314,1.2371,1.236,1.2264,0
2006/04/24 00:00:00,2006-04-23T16:00:00,1.2371,1.2385,1.2414,1.233,0
2006/04/25 00:00:00,2006-04-24T16:00:00,1.2385,1.2428,1.2439,1.2363,0
2006/04/26 00:00:00,2006-04-25T16:00:00,1.2428,1.2446,1.247,1.2384,0
2006/04/27 00:00:00,2006-04-26T16:00:00,1.2446,1.2527,1.2548,1.2401,0
2006/04/28 00:00:00,2006-04-27T16:00:00,1.2527,1.25785,1.2639,1.2518,0
2006/05/01 00:00:00,2006-04-30T16:00:00,1.2625,1.2568,1.269,1.2553,0
2006/05/02 00:00:00,2006-05-01T16:00:00,1.2568,1.2613,1.2667,1.2556,0
2006/05/02 00:00:00,2006-05-01T16:00:00,1.2568,1.2613,1.2667,1.2556,0
2006/05/03 00:00:00,2006-05-02T16:00:00,1.2613,1.2629,1.2669,1.2588,0
2006/05/04 00:00:00,2006-05-03T16:00:00,1.2629,1.2689,1.2723,1.2569,0
2006/05/05 00:00:00,2006-05-04T16:00:00,1.2689,1.274,1.2765,1.267,0
2006/05/08 00:00:00,2006-05-07T16:00:00,1.274,1.2699,1.2787,1.269,0
2006/05/09 00:00:00,2006-05-08T16:00:00,1.2699,1.276,1.2783,1.2659,0
2006/05/10 00:00:00,2006-05-09T16:00:00,1.276,1.2783,1.2831,1.2749,0
2006/05/11 00:00:00,2006-05-10T16:00:00,1.2783,1.2835,1.2872,1.2684,0
2006/05/12 00:00:00,2006-05-11T16:00:00,1.2835,1.2948,1.2956,1.2828,0
2006/05/15 00:00:00,2006-05-14T16:00:00,1.2948,1.2796,1.2971,1.2776,0
2006/05/16 00:00:00,2006-05-15T16:00:00,1.2796,1.2859,1.2868,1.2767,0
2006/05/17 00:00:00,2006-05-16T16:00:00,1.2859,1.2729,1.2921,1.27,0
2006/05/18 00:00:00,2006-05-17T16:00:00,1.2729,1.2855,1.2864,1.272,0
2006/05/19 00:00:00,2006-05-18T16:00:00,1.2855,1.2758,1.2864,1.2692,0
2006/05/22 00:00:00,2006-05-21T16:00:00,1.2758,1.2865,1.2886,1.2692,0
2006/05/22 00:00:00,2006-05-21T16:00:00,1.2758,1.2865,1.2886,1.2692,0
2006/05/23 00:00:00,2006-05-22T16:00:00,1.2865,1.2813,1.2878,1.2802,0
2006/05/24 00:00:00,2006-05-23T16:00:00,1.2813,1.2758,1.2893,1.2728,0
2006/05/25 00:00:00,2006-05-24T16:00:00,1.2758,1.2813,1.2818,1.2745,0
2006/05/26 00:00:00,2006-05-25T16:00:00,1.2813,1.2729,1.2834,1.2698,0
2006/05/29 00:00:00,2006-05-28T16:00:00,1.2729,1.2747,1.2768,1.2717,0
2006/05/30 00:00:00,2006-05-29T16:00:00,1.2747,1.2874,1.2909,1.2739,0
2006/05/31 00:00:00,2006-05-30T16:00:00,1.2874,1.28525,1.2903,1.2802,0
2006/06/01 00:00:00,2006-05-31T16:00:00,1.2812,1.281,1.2824,1.272,0
2006/06/02 00:00:00,2006-06-01T16:00:00,1.281,1.2928,1.2939,1.2792,0
2006/06/05 00:00:00,2006-06-04T16:00:00,1.2928,1.2906,1.2979,1.2898,0
2006/06/06 00:00:00,2006-06-05T16:00:00,1.2906,1.2818,1.2936,1.2806,0
2006/06/07 00:00:00,2006-06-06T16:00:00,1.2818,1.2793,1.2837,1.2757,0
2006/06/08 00:00:00,2006-06-07T16:00:00,1.2793,1.265,1.2808,1.2624,0
2006/06/09 00:00:00,2006-06-08T16:00:00,1.265,1.2616,1.2683,1.2593,0
2006/06/12 00:00:00,2006-06-11T16:00:00,1.2616,1.258,1.2651,1.2565,0
2006/06/13 00:00:00,2006-06-12T16:00:00,1.258,1.2546,1.2618,1.2528,0
2006/06/14 00:00:00,2006-06-13T16:00:00,1.2546,1.2604,1.2648,1.2532,0
2006/06/15 00:00:00,2006-06-14T16:00:00,1.2604,1.2631,1.2658,1.2577,0
2006/06/16 00:00:00,2006-06-15T16:00:00,1.2631,1.2647,1.2675,1.2616,0
2006/06/19 00:00:00,2006-06-18T16:00:00,1.2647,1.2577,1.2653,1.2549,0
2006/06/20 00:00:00,2006-06-19T16:00:00,1.2577,1.2582,1.2617,1.2536,0
2006/06/21 00:00:00,2006-06-20T16:00:00,1.2582,1.2663,1.2678,1.2577,0
2006/06/22 00:00:00,2006-06-21T16:00:00,1.2663,1.2569,1.268,1.2548,0
2006/06/23 00:00:00,2006-06-22T16:00:00,1.2569,1.2502,1.2593,1.2476,0
2006/06/26 00:00:00,2006-06-25T16:00:00,1.2502,1.2587,1.2603,1.2499,0
2006/06/27 00:00:00,2006-06-26T16:00:00,1.2587,1.2579,1.2618,1.2558,0
2006/06/28 00:00:00,2006-06-27T16:00:00,1.2579,1.2549,1.2584,1.2514,0
2006/06/29 00:00:00,2006-06-28T16:00:00,1.2549,1.2665,1.2667,1.2514,0
2006/06/30 00:00:00,2006-06-29T16:00:00,1.2665,1.2724,1.2794,1.2654,0
2006/07/03 00:00:00,2006-07-02T16:00:00,1.2787,1.2788,1.2822,1.2759,0
2006/07/04 00:00:00,2006-07-03T16:00:00,1.2788,1.2785,1.2823,1.2783,0
2006/07/05 00:00:00,2006-07-04T16:00:00,1.2785,1.2721,1.2839,1.2702,0
2006/07/06 00:00:00,2006-07-05T16:00:00,1.2721,1.2777,1.2783,1.2717,0
2006/07/07 00:00:00,2006-07-06T16:00:00,1.2777,1.281,1.2861,1.2762,0
2006/07/10 00:00:00,2006-07-09T16:00:00,1.281,1.2734,1.2816,1.2716,0
2006/07/11 00:00:00,2006-07-10T16:00:00,1.2734,1.2762,1.2777,1.2702,0
2006/07/12 00:00:00,2006-07-11T16:00:00,1.2762,1.27,1.278,1.2673,0
2006/07/13 00:00:00,2006-07-12T16:00:00,1.27,1.2691,1.2733,1.2663,0
2006/07/14 00:00:00,2006-07-13T16:00:00,1.2691,1.2631,1.2697,1.2624,0
2006/07/17 00:00:00,2006-07-16T16:00:00,1.2631,1.2519,1.2646,1.2508,0
2006/07/18 00:00:00,2006-07-17T16:00:00,1.2519,1.2502,1.2559,1.2472,0
2006/07/19 00:00:00,2006-07-18T16:00:00,1.2502,1.259,1.2609,1.2456,0
2006/07/20 00:00:00,2006-07-19T16:00:00,1.259,1.2627,1.2654,1.2586,0
2006/07/21 00:00:00,2006-07-20T16:00:00,1.2627,1.27,1.2696,1.2621,0
2006/07/21 00:00:00,2006-07-20T16:00:00,1.2627,1.27,1.2696,1.2621,0
2006/07/24 00:00:00,2006-07-23T16:00:00,1.27,1.2629,1.2707,1.2608,0
2006/07/25 00:00:00,2006-07-24T16:00:00,1.2629,1.2578,1.2674,1.2559,0
2006/07/26 00:00:00,2006-07-25T16:00:00,1.2578,1.2714,1.2724,1.2558,0
2006/07/27 00:00:00,2006-07-26T16:00:00,1.2714,1.2694,1.2772,1.2679,0
2006/07/28 00:00:00,2006-07-27T16:00:00,1.2694,1.2765,1.2769,1.2655,0
2006/07/31 00:00:00,2006-07-30T16:00:00,1.2765,1.276,1.2783,1.2737,0
2006/08/01 00:00:00,2006-07-31T16:00:00,1.2761,1.2822,1.2829,1.2718,0
2006/08/02 00:00:00,2006-08-01T16:00:00,1.2822,1.2787,1.2835,1.2773,0
2006/08/03 00:00:00,2006-08-02T16:00:00,1.2787,1.28,1.2833,1.2739,0
2006/08/04 00:00:00,2006-08-03T16:00:00,1.28,1.2881,1.2909,1.2757,0
2006/08/07 00:00:00,2006-08-06T16:00:00,1.2881,1.2828,1.2892,1.2828,0
2006/08/08 00:00:00,2006-08-07T16:00:00,1.2828,1.282,1.2893,1.2803,0
2006/08/09 00:00:00,2006-08-08T16:00:00,1.282,1.2862,1.2903,1.2763,0
2006/08/10 00:00:00,2006-08-09T16:00:00,1.2862,1.279,1.2912,1.2745,0
2006/08/10 00:00:00,2006-08-09T16:00:00,1.2862,1.279,1.2912,1.2745,0
2006/08/11 00:00:00,2006-08-10T16:00:00,1.279,1.2712,1.2798,1.2713,0
2006/08/14 00:00:00,2006-08-13T16:00:00,1.2712,1.2721,1.2766,1.2704,0
2006/08/15 00:00:00,2006-08-14T16:00:00,1.2721,1.2782,1.2804,1.2693,0
2006/08/16 00:00:00,2006-08-15T16:00:00,1.2782,1.284,1.2867,1.2766,0
2006/08/17 00:00:00,2006-08-16T16:00:00,1.284,1.2828,1.289,1.2811,0
2006/08/18 00:00:00,2006-08-17T16:00:00,1.2828,1.2826,1.2845,1.2778,0
2006/08/21 00:00:00,2006-08-20T16:00:00,1.2826,1.2885,1.2939,1.2824,0
2006/08/22 00:00:00,2006-08-21T16:00:00,1.2885,1.2803,1.289,1.2781,0
2006/08/23 00:00:00,2006-08-22T16:00:00,1.2803,1.2782,1.2852,1.2774,0
2006/08/24 00:00:00,2006-08-23T16:00:00,1.2782,1.2766,1.2843,1.2749,0
2006/08/25 00:00:00,2006-08-24T16:00:00,1.2766,1.276,1.2783,1.2724,0
2006/08/28 00:00:00,2006-08-27T16:00:00,1.276,1.2783,1.2821,1.2753,0
2006/08/29 00:00:00,2006-08-28T16:00:00,1.2783,1.2822,1.2842,1.2747,0
2006/08/30 00:00:00,2006-08-29T16:00:00,1.2822,1.2834,1.2853,1.2809,0
2006/08/30 00:00:00,2006-08-29T16:00:00,1.2822,1.2834,1.2853,1.2809,0
2006/08/31 00:00:00,2006-08-30T16:00:00,1.2834,1.28315,1.288,1.2783,0
2006/09/01 00:00:00,2006-08-31T16:00:00,1.2803,1.2844,1.2847,1.2753,0
2006/09/04 00:00:00,2006-09-03T16:00:00,1.2844,1.2861,1.2874,1.2836,0
2006/09/05 00:00:00,2006-09-04T16:00:00,1.2861,1.2817,1.2865,1.2793,0
2006/09/06 00:00:00,2006-09-05T16:00:00,1.2817,1.2801,1.2836,1.2766,0
2006/09/07 00:00:00,2006-09-06T16:00:00,1.2801,1.2732,1.2832,1.2704,0
2006/09/08 00:00:00,2006-09-07T16:00:00,1.2732,1.2667,1.2742,1.2649,0
2006/09/11 00:00:00,2006-09-10T16:00:00,1.2667,1.2699,1.2742,1.2646,0
2006/09/12 00:00:00,2006-09-11T16:00:00,1.2699,1.2683,1.2733,1.2669,0
2006/09/13 00:00:00,2006-09-12T16:00:00,1.2683,1.2696,1.2717,1.2664,0
2006/09/14 00:00:00,2006-09-13T16:00:00,1.2696,1.2721,1.2753,1.2672,0
2006/09/15 00:00:00,2006-09-14T16:00:00,1.2721,1.2634,1.2735,1.2629,0
2006/09/18 00:00:00,2006-09-17T16:00:00,1.2634,1.2696,1.271,1.2628,0
2006/09/19 00:00:00,2006-09-18T16:00:00,1.2696,1.2672,1.2726,1.2648,0
2006/09/19 00:00:00,2006-09-18T16:00:00,1.2696,1.2672,1.2726,1.2648,0
2006/09/20 00:00:00,2006-09-19T16:00:00,1.2672,1.2687,1.2728,1.266,0
2006/09/21 00:00:00,2006-09-20T16:00:00,1.2687,1.278,1.2798,1.268,0
2006/09/22 00:00:00,2006-09-21T16:00:00,1.278,1.2789,1.2832,1.2771,0
2006/09/25 00:00:00,2006-09-24T16:00:00,1.2789,1.2745,1.2823,1.2729,0
2006/09/26 00:00:00,2006-09-25T16:00:00,1.2745,1.2682,1.2762,1.266,0
2006/09/27 00:00:00,2006-09-26T16:00:00,1.2682,1.2696,1.2718,1.2667,0
2006/09/28 00:00:00,2006-09-27T16:00:00,1.2696,1.2697,1.2733,1.2675,0
2006/09/29 00:00:00,2006-09-28T16:00:00,1.2697,1.2675,1.2713,1.2637,0
2006/10/02 00:00:00,2006-10-01T16:00:00,1.2681,1.2736,1.2758,1.2659,0
2006/10/03 00:00:00,2006-10-02T16:00:00,1.2736,1.2728,1.2767,1.2717,0
2006/10/04 00:00:00,2006-10-03T16:00:00,1.2728,1.2713,1.2742,1.2664,0
2006/10/05 00:00:00,2006-10-04T16:00:00,1.2713,1.2687,1.2728,1.267,0
2006/10/06 00:00:00,2006-10-05T16:00:00,1.2687,1.2591,1.2714,1.2571,0
2006/10/09 00:00:00,2006-10-08T16:00:00,1.2591,1.2592,1.2616,1.2583,0
2006/10/09 00:00:00,2006-10-08T16:00:00,1.2591,1.2592,1.2616,1.2583,0
2006/10/10 00:00:00,2006-10-09T16:00:00,1.2592,1.2533,1.2617,1.2516,0
2006/10/11 00:00:00,2006-10-10T16:00:00,1.2533,1.2516,1.2557,1.25,0
2006/10/12 00:00:00,2006-10-11T16:00:00,1.2516,1.2553,1.2566,1.2514,0
2006/10/13 00:00:00,2006-10-12T16:00:00,1.2553,1.2498,1.2577,1.2481,0
2006/10/16 00:00:00,2006-10-15T16:00:00,1.2498,1.2531,1.2537,1.2486,0
2006/10/17 00:00:00,2006-10-16T16:00:00,1.2531,1.2532,1.2566,1.2506,0
2006/10/18 00:00:00,2006-10-17T16:00:00,1.2532,1.2532,1.2559,1.2498,0
2006/10/19 00:00:00,2006-10-18T16:00:00,1.2532,1.2624,1.2642,1.2528,0
2006/10/20 00:00:00,2006-10-19T16:00:00,1.2624,1.2617,1.2639,1.2595,0
2006/10/23 00:00:00,2006-10-22T16:00:00,1.2617,1.2546,1.2621,1.2533,0
2006/10/24 00:00:00,2006-10-23T16:00:00,1.2546,1.2551,1.2576,1.2522,0
2006/10/25 00:00:00,2006-10-24T16:00:00,1.2551,1.26,1.2623,1.2548,0
2006/10/26 00:00:00,2006-10-25T16:00:00,1.26,1.2685,1.2702,1.2598,0
2006/10/27 00:00:00,2006-10-26T16:00:00,1.2685,1.273,1.275,1.2661,0
2006/10/29 23:00:00,2006-10-29T16:00:00,1.273,1.2724,1.2737,1.2697,0
2006/10/30 23:00:00,2006-10-30T16:00:00,1.2724,1.273,1.2783,1.2677,0
2006/10/31 23:00:00,2006-10-31T16:00:00,1.2761,1.2755,1.2798,1.274,0
2006/11/01 23:00:00,2006-11-01T16:00:00,1.2755,1.2777,1.2785,1.2735,0
2006/11/02 23:00:00,2006-11-02T16:00:00,1.2777,1.2717,1.2791,1.268,0
2006/11/05 23:00:00,2006-11-05T16:00:00,1.2717,1.2722,1.2725,1.2687,0
2006/11/06 23:00:00,2006-11-06T16:00:00,1.2722,1.2772,1.2819,1.2719,0
2006/11/07 23:00:00,2006-11-07T16:00:00,1.2772,1.2755,1.281,1.2743,0
2006/11/08 23:00:00,2006-11-08T16:00:00,1.2755,1.2827,1.2848,1.2749,0
2006/11/09 23:00:00,2006-11-09T16:00:00,1.2827,1.2842,1.29,1.2825,0
2006/11/12 23:00:00,2006-11-12T16:00:00,1.2842,1.2805,1.2877,1.2793,0
2006/11/13 23:00:00,2006-11-13T16:00:00,1.2805,1.2812,1.2871,1.2788,0
2006/11/14 23:00:00,2006-11-14T16:00:00,1.2812,1.2825,1.2835,1.2771,0
2006/11/15 23:00:00,2006-11-15T16:00:00,1.2825,1.2792,1.2841,1.2783,0
2006/11/16 23:00:00,2006-11-16T16:00:00,1.2792,1.2828,1.2845,1.276,0
2006/11/19 23:00:00,2006-11-19T16:00:00,1.2828,1.2816,1.2854,1.2803,0
2006/11/20 23:00:00,2006-11-20T16:00:00,1.2816,1.2842,1.2854,1.2796,0
2006/11/21 23:00:00,2006-11-21T16:00:00,1.2842,1.2944,1.2957,1.2835,0
2006/11/22 23:00:00,2006-11-22T16:00:00,1.2944,1.2943,1.2975,1.2925,0
2006/11/23 23:00:00,2006-11-23T16:00:00,1.2943,1.317,1.3109,1.2941,0
2006/11/26 23:00:00,2006-11-26T16:00:00,1.317,1.3132,1.3172,1.3085,0
2006/11/27 23:00:00,2006-11-27T16:00:00,1.3132,1.3198,1.3209,1.3114,0
2006/11/28 23:00:00,2006-11-28T16:00:00,1.3198,1.3153,1.3218,1.313,0
2006/11/29 23:00:00,2006-11-29T16:00:00,1.3153,1.3207,1.3274,1.314,0
2006/11/30 23:00:00,2006-11-30T16:00:00,1.3241,1.3332,1.3348,1.3215,0
2006/12/03 23:00:00,2006-12-03T16:00:00,1.3332,1.3337,1.3367,1.328,0
2006/12/04 23:00:00,2006-12-04T16:00:00,1.3337,1.3316,1.3363,1.3284,0
2006/12/05 23:00:00,2006-12-05T16:00:00,1.3316,1.3281,1.3341,1.3253,0
2006/12/06 23:00:00,2006-12-06T16:00:00,1.3281,1.3285,1.3326,1.3273,0
2006/12/07 23:00:00,2006-12-07T16:00:00,1.3285,1.3176,1.3364,1.319,0
2006/12/10 23:00:00,2006-12-10T16:00:00,1.3176,1.3237,1.3263,1.3129,0
2006/12/11 23:00:00,2006-12-11T16:00:00,1.3237,1.328,1.3291,1.321,0
2006/12/12 23:00:00,2006-12-12T16:00:00,1.328,1.3214,1.3288,1.3189,0
2006/12/13 23:00:00,2006-12-13T16:00:00,1.3214,1.3142,1.3253,1.3139,0
2006/12/14 23:00:00,2006-12-14T16:00:00,1.3142,1.3081,1.3186,1.3057,0
2006/12/17 23:00:00,2006-12-17T16:00:00,1.3081,1.31,1.312,1.3051,0
2006/12/18 23:00:00,2006-12-18T16:00:00,1.31,1.3186,1.3215,1.308,0
2006/12/19 23:00:00,2006-12-19T16:00:00,1.3186,1.3173,1.3244,1.3158,0
2006/12/20 23:00:00,2006-12-20T16:00:00,1.3173,1.3172,1.3216,1.3138,0
2006/12/21 23:00:00,2006-12-21T16:00:00,1.3172,1.3132,1.3214,1.3107,0
2006/12/24 23:00:00,2006-12-24T16:00:00,1.3132,1.3116,1.3164,1.3098,0
2006/12/25 23:00:00,2006-12-25T16:00:00,1.3116,1.3096,1.3141,1.3088,0
2006/12/26 23:00:00,2006-12-26T16:00:00,1.3096,1.3117,1.3178,1.3091,0
2006/12/27 23:00:00,2006-12-27T16:00:00,1.3117,1.3147,1.3202,1.3103,0
2006/12/28 23:00:00,2006-12-28T16:00:00,1.3147,1.317,1.3205,1.3135,0
2006/12/31 23:00:00,2006-12-31T16:00:00,1.3196,1.3199,1.3202,1.3171,0
2007/01/01 23:00:00,2007-01-01T16:00:00,1.3199,1.3271,1.3297,1.3195,0
2007/01/02 23:00:00,2007-01-02T16:00:00,1.3271,1.3166,1.329,1.3144,0
2007/01/03 23:00:00,2007-01-03T16:00:00,1.3166,1.3084,1.3181,1.3073,0
2007/01/04 23:00:00,2007-01-04T16:00:00,1.3084,1.3012,1.3105,1.2979,0
2007/01/07 23:00:00,2007-01-07T16:00:00,1.3012,1.3022,1.3036,1.2971,0
2007/01/08 23:00:00,2007-01-08T16:00:00,1.3022,1.3,1.3053,1.2984,0
2007/01/09 23:00:00,2007-01-09T16:00:00,1.3,1.2936,1.3006,1.2929,0
2007/01/10 23:00:00,2007-01-10T16:00:00,1.2936,1.289,1.3015,1.288,0
2007/01/11 23:00:00,2007-01-11T16:00:00,1.289,1.2926,1.2944,1.2864,0
2007/01/14 23:00:00,2007-01-14T16:00:00,1.2926,1.2939,1.2958,1.2913,0
2007/01/15 23:00:00,2007-01-15T16:00:00,1.2939,1.2917,1.299,1.2907,0
2007/01/16 23:00:00,2007-01-16T16:00:00,1.2917,1.2943,1.295,1.2895,0
2007/01/17 23:00:00,2007-01-17T16:00:00,1.2943,1.2961,1.2977,1.2895,0
2007/01/18 23:00:00,2007-01-18T16:00:00,1.2961,1.2961,1.3001,1.2912,0
2007/01/21 23:00:00,2007-01-21T16:00:00,1.2961,1.2948,1.2981,1.2919,0
2007/01/22 23:00:00,2007-01-22T16:00:00,1.2948,1.3021,1.3045,1.2927,0
2007/01/23 23:00:00,2007-01-23T16:00:00,1.3021,1.2965,1.3036,1.2946,0
2007/01/24 23:00:00,2007-01-24T16:00:00,1.2965,1.2935,1.3002,1.2913,0
2007/01/25 23:00:00,2007-01-25T16:00:00,1.2935,1.2919,1.2944,1.2875,0
2007/01/28 23:00:00,2007-01-28T16:00:00,1.2919,1.2955,1.2967,1.2897,0
2007/01/29 23:00:00,2007-01-29T16:00:00,1.2955,1.2967,1.2981,1.2941,0
2007/01/30 23:00:00,2007-01-30T16:00:00,1.2967,1.29785,1.3036,1.2921,0
2007/01/31 23:00:00,2007-01-31T16:00:00,1.303,1.3023,1.3052,1.2998,0
2007/02/01 23:00:00,2007-02-01T16:00:00,1.3023,1.2963,1.3064,1.2949,0
