snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2018/06/21 00:00:00,2018-06-20T16:00:00,"{'bid': 11591.5, 'ask': 11592.1, 'lastTraded': None}","{'bid': 11599.6, 'ask': 11600.2, 'lastTraded': None}","{'bid': 11633.4, 'ask': 11634.3, 'lastTraded': None}","{'bid': 11507.6, 'ask': 11508.4, 'lastTraded': None}",600249
2018/06/22 00:00:00,2018-06-21T16:00:00,"{'bid': 11599.5, 'ask': 11600.1, 'lastTraded': None}","{'bid': 11629.4, 'ask': 11630.0, 'lastTraded': None}","{'bid': 11674.9, 'ask': 11675.9, 'lastTraded': None}","{'bid': 11594.4, 'ask': 11595.4, 'lastTraded': None}",544947
2018/06/23 00:00:00,2018-06-22T16:00:00,"{'bid': 11629.5, 'ask': 11630.1, 'lastTraded': None}","{'bid': 11656.7, 'ask': 11660.4, 'lastTraded': None}","{'bid': 11667.4, 'ask': 11668.3, 'lastTraded': None}","{'bid': 11628.6, 'ask': 11629.6, 'lastTraded': None}",57139
2018/06/25 00:00:00,2018-06-24T16:00:00,"{'bid': 11654.7, 'ask': 11658.5, 'lastTraded': None}","{'bid': 11692.9, 'ask': 11693.5, 'lastTraded': None}","{'bid': 11701.6, 'ask': 11702.4, 'lastTraded': None}","{'bid': 11627.6, 'ask': 11628.7, 'lastTraded': None}",413028
2018/06/26 00:00:00,2018-06-25T16:00:00,"{'bid': 11692.8, 'ask': 11693.4, 'lastTraded': None}","{'bid': 11675.1, 'ask': 11675.7, 'lastTraded': None}","{'bid': 11720.5, 'ask': 11721.5, 'lastTraded': None}","{'bid': 11649.3, 'ask': 11650.2, 'lastTraded': None}",514958
2018/06/27 00:00:00,2018-06-26T16:00:00,"{'bid': 11675.0, 'ask': 11675.6, 'lastTraded': None}","{'bid': 11587.3, 'ask': 11588.8, 'lastTraded': None}","{'bid': 11676.1, 'ask': 11677.0, 'lastTraded': None}","{'bid': 11581.2, 'ask': 11581.8, 'lastTraded': None}",532137
2018/06/28 00:00:00,2018-06-27T16:00:00,"{'bid': 11587.2, 'ask': 11587.8, 'lastTraded': None}","{'bid': 11581.5, 'ask': 11582.1, 'lastTraded': None}","{'bid': 11600.3, 'ask': 11601.4, 'lastTraded': None}","{'bid': 11526.4, 'ask': 11527.6, 'lastTraded': None}",584098
2018/06/29 00:00:00,2018-06-28T16:00:00,"{'bid': 11581.2, 'ask': 11582.7, 'lastTraded': None}","{'bid': 11676.6, 'ask': 11677.2, 'lastTraded': None}","{'bid': 11682.8, 'ask': 11683.9, 'lastTraded': None}","{'bid': 11550.4, 'ask': 11551.3, 'lastTraded': None}",682696
2018/06/30 00:00:00,2018-06-29T16:00:00,"{'bid': 11676.7, 'ask': 11677.3, 'lastTraded': None}","{'bid': 11681.8, 'ask': 11686.6, 'lastTraded': None}","{'bid': 11690.2, 'ask': 11691.3, 'lastTraded': None}","{'bid': 11663.2, 'ask': 11664.2, 'lastTraded': None}",69837
2018/07/02 00:00:00,2018-07-01T16:00:00,"{'bid': 11631.6, 'ask': 11637.4, 'lastTraded': None}","{'bid': 11604.1, 'ask': 11604.7, 'lastTraded': None}","{'bid': 11691.0, 'ask': 11699.2, 'lastTraded': None}","{'bid': 11590.6, 'ask': 11591.5, 'lastTraded': None}",329802
2018/07/03 00:00:00,2018-07-02T16:00:00,"{'bid': 11604.2, 'ask': 11604.8, 'lastTraded': None}","{'bid': 11652.3, 'ask': 11652.9, 'lastTraded': None}","{'bid': 11673.0, 'ask': 11673.8, 'lastTraded': None}","{'bid': 11599.2, 'ask': 11600.2, 'lastTraded': None}",399248
2018/07/04 00:00:00,2018-07-03T16:00:00,"{'bid': 11652.4, 'ask': 11653.0, 'lastTraded': None}","{'bid': 11640.7, 'ask': 11641.3, 'lastTraded': None}","{'bid': 11681.6, 'ask': 11682.6, 'lastTraded': None}","{'bid': 11629.8, 'ask': 11630.9, 'lastTraded': None}",270191
2018/07/05 00:00:00,2018-07-04T16:00:00,"{'bid': 11639.7, 'ask': 11641.2, 'lastTraded': None}","{'bid': 11695.1, 'ask': 11695.7, 'lastTraded': None}","{'bid': 11720.0, 'ask': 11721.7, 'lastTraded': None}","{'bid': 11637.4, 'ask': 11638.7, 'lastTraded': None}",397725
2018/07/06 00:00:00,2018-07-05T16:00:00,"{'bid': 11695.2, 'ask': 11695.8, 'lastTraded': None}","{'bid': 11736.0, 'ask': 11737.5, 'lastTraded': None}","{'bid': 11767.1, 'ask': 11768.6, 'lastTraded': None}","{'bid': 11671.0, 'ask': 11672.4, 'lastTraded': None}",369453
2018/07/07 00:00:00,2018-07-06T16:00:00,"{'bid': 11736.1, 'ask': 11737.6, 'lastTraded': None}","{'bid': 11741.9, 'ask': 11745.9, 'lastTraded': None}","{'bid': 11748.6, 'ask': 11750.1, 'lastTraded': None}","{'bid': 11733.0, 'ask': 11734.2, 'lastTraded': None}",38533
2018/07/09 00:00:00,2018-07-08T16:00:00,"{'bid': 11746.4, 'ask': 11753.6, 'lastTraded': None}","{'bid': 11744.3, 'ask': 11744.9, 'lastTraded': None}","{'bid': 11790.6, 'ask': 11791.6, 'lastTraded': None}","{'bid': 11736.7, 'ask': 11741.0, 'lastTraded': None}",296702
2018/07/10 00:00:00,2018-07-09T16:00:00,"{'bid': 11744.2, 'ask': 11744.8, 'lastTraded': None}","{'bid': 11728.9, 'ask': 11729.5, 'lastTraded': None}","{'bid': 11762.5, 'ask': 11763.9, 'lastTraded': None}","{'bid': 11689.5, 'ask': 11690.6, 'lastTraded': None}",359983
2018/07/11 00:00:00,2018-07-10T16:00:00,"{'bid': 11728.8, 'ask': 11729.4, 'lastTraded': None}","{'bid': 11722.3, 'ask': 11722.9, 'lastTraded': None}","{'bid': 11758.3, 'ask': 11759.2, 'lastTraded': None}","{'bid': 11694.2, 'ask': 11695.4, 'lastTraded': None}",441316
2018/07/11 00:00:00,2018-07-10T16:00:00,"{'bid': 11728.8, 'ask': 11729.4, 'lastTraded': None}","{'bid': 11722.3, 'ask': 11722.9, 'lastTraded': None}","{'bid': 11758.3, 'ask': 11759.2, 'lastTraded': None}","{'bid': 11694.2, 'ask': 11695.4, 'lastTraded': None}",441316
2018/07/12 00:00:00,2018-07-11T16:00:00,"{'bid': 11722.2, 'ask': 11722.8, 'lastTraded': None}","{'bid': 11690.5, 'ask': 11691.1, 'lastTraded': None}","{'bid': 11727.1, 'ask': 11728.1, 'lastTraded': None}","{'bid': 11649.1, 'ask': 11650.1, 'lastTraded': None}",458733
2018/07/13 00:00:00,2018-07-12T16:00:00,"{'bid': 11690.1, 'ask': 11691.6, 'lastTraded': None}","{'bid': 11666.2, 'ask': 11666.8, 'lastTraded': None}","{'bid': 11692.6, 'ask': 11693.4, 'lastTraded': None}","{'bid': 11612.3, 'ask': 11613.2, 'lastTraded': None}",406459
2018/07/14 00:00:00,2018-07-13T16:00:00,"{'bid': 11666.3, 'ask': 11666.9, 'lastTraded': None}","{'bid': 11685.0, 'ask': 11688.1, 'lastTraded': None}","{'bid': 11686.6, 'ask': 11689.5, 'lastTraded': None}","{'bid': 11664.7, 'ask': 11665.8, 'lastTraded': None}",47399
2018/07/16 00:00:00,2018-07-15T16:00:00,"{'bid': 11685.6, 'ask': 11695.4, 'lastTraded': None}","{'bid': 11711.2, 'ask': 11711.8, 'lastTraded': None}","{'bid': 11725.2, 'ask': 11726.2, 'lastTraded': None}","{'bid': 11674.7, 'ask': 11676.0, 'lastTraded': None}",266079
2018/07/17 00:00:00,2018-07-16T16:00:00,"{'bid': 11710.7, 'ask': 11712.2, 'lastTraded': None}","{'bid': 11661.4, 'ask': 11662.0, 'lastTraded': None}","{'bid': 11744.5, 'ask': 11745.1, 'lastTraded': None}","{'bid': 11661.1, 'ask': 11662.0, 'lastTraded': None}",306742
2018/07/18 00:00:00,2018-07-17T16:00:00,"{'bid': 11661.8, 'ask': 11662.4, 'lastTraded': None}","{'bid': 11644.6, 'ask': 11645.2, 'lastTraded': None}","{'bid': 11668.9, 'ask': 11669.9, 'lastTraded': None}","{'bid': 11601.0, 'ask': 11602.3, 'lastTraded': None}",400789
2018/07/19 00:00:00,2018-07-18T16:00:00,"{'bid': 11644.7, 'ask': 11645.3, 'lastTraded': None}","{'bid': 11603.2, 'ask': 11603.8, 'lastTraded': None}","{'bid': 11662.0, 'ask': 11662.9, 'lastTraded': None}","{'bid': 11574.3, 'ask': 11575.2, 'lastTraded': None}",451634
2018/07/20 00:00:00,2018-07-19T16:00:00,"{'bid': 11603.3, 'ask': 11603.9, 'lastTraded': None}","{'bid': 11708.3, 'ask': 11708.9, 'lastTraded': None}","{'bid': 11723.0, 'ask': 11724.0, 'lastTraded': None}","{'bid': 11601.3, 'ask': 11602.5, 'lastTraded': None}",637534
2018/07/21 00:00:00,2018-07-20T16:00:00,"{'bid': 11708.4, 'ask': 11709.0, 'lastTraded': None}","{'bid': 11719.9, 'ask': 11723.6, 'lastTraded': None}","{'bid': 11738.7, 'ask': 11739.7, 'lastTraded': None}","{'bid': 11700.4, 'ask': 11701.6, 'lastTraded': None}",56009
2018/07/23 00:00:00,2018-07-22T16:00:00,"{'bid': 11729.8, 'ask': 11737.6, 'lastTraded': None}","{'bid': 11702.0, 'ask': 11702.6, 'lastTraded': None}","{'bid': 11750.4, 'ask': 11751.0, 'lastTraded': None}","{'bid': 11686.2, 'ask': 11686.9, 'lastTraded': None}",293903
