snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2009/10/22 00:00:00,2009-10-21T16:00:00,"{'bid': 14998.0, 'ask': 14998.0, 'lastTraded': None}","{'bid': 15021.0, 'ask': 15021.0, 'lastTraded': None}","{'bid': 15038.0, 'ask': 15038.0, 'lastTraded': None}","{'bid': 14941.0, 'ask': 14941.0, 'lastTraded': None}",0
2009/10/23 00:00:00,2009-10-22T16:00:00,"{'bid': 15021.0, 'ask': 15021.0, 'lastTraded': None}","{'bid': 14998.0, 'ask': 14998.0, 'lastTraded': None}","{'bid': 15060.0, 'ask': 15060.0, 'lastTraded': None}","{'bid': 14984.0, 'ask': 14984.0, 'lastTraded': None}",0
2009/10/25 23:00:00,2009-10-25T16:00:00,"{'bid': 14998.0, 'ask': 14998.0, 'lastTraded': None}","{'bid': 14861.0, 'ask': 14861.0, 'lastTraded': None}","{'bid': 15061.0, 'ask': 15061.0, 'lastTraded': None}","{'bid': 14842.0, 'ask': 14842.0, 'lastTraded': None}",0
2009/10/26 23:00:00,2009-10-26T16:00:00,"{'bid': 14861.0, 'ask': 14861.0, 'lastTraded': None}","{'bid': 14810.0, 'ask': 14810.0, 'lastTraded': None}","{'bid': 14927.0, 'ask': 14927.0, 'lastTraded': None}","{'bid': 14769.0, 'ask': 14769.0, 'lastTraded': None}",0
2009/10/27 23:00:00,2009-10-27T16:00:00,"{'bid': 14810.0, 'ask': 14810.0, 'lastTraded': None}","{'bid': 14712.0, 'ask': 14712.0, 'lastTraded': None}","{'bid': 14840.0, 'ask': 14840.0, 'lastTraded': None}","{'bid': 14689.0, 'ask': 14689.0, 'lastTraded': None}",0
2009/10/28 23:00:00,2009-10-28T16:00:00,"{'bid': 14712.0, 'ask': 14712.0, 'lastTraded': None}","{'bid': 14832.0, 'ask': 14832.0, 'lastTraded': None}","{'bid': 14858.0, 'ask': 14858.0, 'lastTraded': None}","{'bid': 14681.0, 'ask': 14681.0, 'lastTraded': None}",0
2009/10/29 23:00:00,2009-10-29T16:00:00,"{'bid': 14832.0, 'ask': 14832.0, 'lastTraded': None}","{'bid': 14779.5, 'ask': 14779.5, 'lastTraded': None}","{'bid': 14858.0, 'ask': 14858.0, 'lastTraded': None}","{'bid': 14701.0, 'ask': 14701.0, 'lastTraded': None}",0
2009/11/01 23:00:00,2009-11-01T16:00:00,"{'bid': 14712.0, 'ask': 14712.0, 'lastTraded': None}","{'bid': 14771.0, 'ask': 14771.0, 'lastTraded': None}","{'bid': 14845.0, 'ask': 14845.0, 'lastTraded': None}","{'bid': 14683.0, 'ask': 14683.0, 'lastTraded': None}",0
2009/11/02 23:00:00,2009-11-02T16:00:00,"{'bid': 14771.0, 'ask': 14771.0, 'lastTraded': None}","{'bid': 14729.0, 'ask': 14729.0, 'lastTraded': None}","{'bid': 14810.0, 'ask': 14810.0, 'lastTraded': None}","{'bid': 14623.0, 'ask': 14623.0, 'lastTraded': None}",0
2009/11/03 23:00:00,2009-11-03T16:00:00,"{'bid': 14729.0, 'ask': 14729.0, 'lastTraded': None}","{'bid': 14870.0, 'ask': 14870.0, 'lastTraded': None}","{'bid': 14908.0, 'ask': 14908.0, 'lastTraded': None}","{'bid': 14700.0, 'ask': 14700.0, 'lastTraded': None}",0
2009/11/04 23:00:00,2009-11-04T16:00:00,"{'bid': 14870.0, 'ask': 14870.0, 'lastTraded': None}","{'bid': 14867.0, 'ask': 14867.0, 'lastTraded': None}","{'bid': 14917.0, 'ask': 14917.0, 'lastTraded': None}","{'bid': 14807.0, 'ask': 14807.0, 'lastTraded': None}",0
2009/11/05 23:00:00,2009-11-05T16:00:00,"{'bid': 14867.0, 'ask': 14867.0, 'lastTraded': None}","{'bid': 14884.0, 'ask': 14884.0, 'lastTraded': None}","{'bid': 14913.0, 'ask': 14913.0, 'lastTraded': None}","{'bid': 14811.0, 'ask': 14811.0, 'lastTraded': None}",0
2009/11/08 23:00:00,2009-11-08T16:00:00,"{'bid': 14884.0, 'ask': 14884.0, 'lastTraded': None}","{'bid': 14996.0, 'ask': 14996.0, 'lastTraded': None}","{'bid': 15020.0, 'ask': 15020.0, 'lastTraded': None}","{'bid': 14850.0, 'ask': 14850.0, 'lastTraded': None}",0
2009/11/09 23:00:00,2009-11-09T16:00:00,"{'bid': 14996.0, 'ask': 14996.0, 'lastTraded': None}","{'bid': 14983.0, 'ask': 14983.0, 'lastTraded': None}","{'bid': 15020.0, 'ask': 15020.0, 'lastTraded': None}","{'bid': 14936.0, 'ask': 14936.0, 'lastTraded': None}",0
2009/11/10 23:00:00,2009-11-10T16:00:00,"{'bid': 14983.0, 'ask': 14983.0, 'lastTraded': None}","{'bid': 14979.0, 'ask': 14979.0, 'lastTraded': None}","{'bid': 15048.0, 'ask': 15048.0, 'lastTraded': None}","{'bid': 14951.0, 'ask': 14951.0, 'lastTraded': None}",0
2009/11/11 23:00:00,2009-11-11T16:00:00,"{'bid': 14979.0, 'ask': 14979.0, 'lastTraded': None}","{'bid': 14845.0, 'ask': 14845.0, 'lastTraded': None}","{'bid': 15016.0, 'ask': 15016.0, 'lastTraded': None}","{'bid': 14819.0, 'ask': 14819.0, 'lastTraded': None}",0
2009/11/12 23:00:00,2009-11-12T16:00:00,"{'bid': 14845.0, 'ask': 14845.0, 'lastTraded': None}","{'bid': 14923.0, 'ask': 14923.0, 'lastTraded': None}","{'bid': 14936.0, 'ask': 14936.0, 'lastTraded': None}","{'bid': 14823.0, 'ask': 14823.0, 'lastTraded': None}",0
2009/11/15 23:00:00,2009-11-15T16:00:00,"{'bid': 14923.0, 'ask': 14923.0, 'lastTraded': None}","{'bid': 14970.0, 'ask': 14970.0, 'lastTraded': None}","{'bid': 15015.0, 'ask': 15015.0, 'lastTraded': None}","{'bid': 14878.0, 'ask': 14878.0, 'lastTraded': None}",0
2009/11/16 23:00:00,2009-11-16T16:00:00,"{'bid': 14970.0, 'ask': 14970.0, 'lastTraded': None}","{'bid': 14874.0, 'ask': 14874.0, 'lastTraded': None}","{'bid': 14999.0, 'ask': 14999.0, 'lastTraded': None}","{'bid': 14806.0, 'ask': 14806.0, 'lastTraded': None}",0
