snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2015/03/13 23:00:00,2015-03-13T16:00:00,"{'bid': 10522.7, 'ask': 10523.5, 'lastTraded': None}","{'bid': 10493.1, 'ask': 10497.1, 'lastTraded': None}","{'bid': 10532.0, 'ask': 10533.5, 'lastTraded': None}","{'bid': 10461.8, 'ask': 10463.3, 'lastTraded': None}",35849
2015/03/15 23:00:00,2015-03-15T16:00:00,"{'bid': 10469.8, 'ask': 10471.6, 'lastTraded': None}","{'bid': 10574.3, 'ask': 10575.1, 'lastTraded': None}","{'bid': 10615.9, 'ask': 10616.9, 'lastTraded': None}","{'bid': 10468.9, 'ask': 10471.1, 'lastTraded': None}",110434
2015/03/16 23:00:00,2015-03-16T16:00:00,"{'bid': 10574.4, 'ask': 10575.2, 'lastTraded': None}","{'bid': 10604.3, 'ask': 10605.1, 'lastTraded': None}","{'bid': 10650.5, 'ask': 10651.3, 'lastTraded': None}","{'bid': 10551.0, 'ask': 10551.9, 'lastTraded': None}",127106
2015/03/17 23:00:00,2015-03-17T16:00:00,"{'bid': 10604.4, 'ask': 10605.2, 'lastTraded': None}","{'bid': 10641.9, 'ask': 10642.7, 'lastTraded': None}","{'bid': 10646.2, 'ask': 10647.0, 'lastTraded': None}","{'bid': 10579.4, 'ask': 10580.5, 'lastTraded': None}",110144
2015/03/18 23:00:00,2015-03-18T16:00:00,"{'bid': 10641.8, 'ask': 10642.6, 'lastTraded': None}","{'bid': 10620.1, 'ask': 10620.9, 'lastTraded': None}","{'bid': 11042.8, 'ask': 11046.8, 'lastTraded': None}","{'bid': 10616.6, 'ask': 10618.9, 'lastTraded': None}",337191
2015/03/19 23:00:00,2015-03-19T16:00:00,"{'bid': 10620.2, 'ask': 10621.0, 'lastTraded': None}","{'bid': 10790.9, 'ask': 10791.7, 'lastTraded': None}","{'bid': 10820.7, 'ask': 10821.5, 'lastTraded': None}","{'bid': 10612.8, 'ask': 10613.6, 'lastTraded': None}",167437
2015/03/20 23:00:00,2015-03-20T16:00:00,"{'bid': 10790.8, 'ask': 10791.6, 'lastTraded': None}","{'bid': 10821.3, 'ask': 10823.8, 'lastTraded': None}","{'bid': 10881.7, 'ask': 10882.5, 'lastTraded': None}","{'bid': 10790.3, 'ask': 10791.1, 'lastTraded': None}",46019
2015/03/22 23:00:00,2015-03-22T16:00:00,"{'bid': 10839.4, 'ask': 10842.8, 'lastTraded': None}","{'bid': 10927.0, 'ask': 10927.8, 'lastTraded': None}","{'bid': 10945.5, 'ask': 10946.3, 'lastTraded': None}","{'bid': 10767.2, 'ask': 10768.0, 'lastTraded': None}",182527
2015/03/23 23:00:00,2015-03-23T16:00:00,"{'bid': 10926.9, 'ask': 10927.7, 'lastTraded': None}","{'bid': 10905.4, 'ask': 10906.2, 'lastTraded': None}","{'bid': 11029.0, 'ask': 11029.8, 'lastTraded': None}","{'bid': 10889.8, 'ask': 10890.9, 'lastTraded': None}",215892
2015/03/24 23:00:00,2015-03-24T16:00:00,"{'bid': 10905.5, 'ask': 10906.3, 'lastTraded': None}","{'bid': 10985.1, 'ask': 10985.9, 'lastTraded': None}","{'bid': 11014.3, 'ask': 11015.1, 'lastTraded': None}","{'bid': 10900.5, 'ask': 10901.3, 'lastTraded': None}",160271
2015/03/25 23:00:00,2015-03-25T16:00:00,"{'bid': 10985.0, 'ask': 10985.8, 'lastTraded': None}","{'bid': 10918.0, 'ask': 10918.8, 'lastTraded': None}","{'bid': 11051.8, 'ask': 11052.6, 'lastTraded': None}","{'bid': 10905.5, 'ask': 10906.3, 'lastTraded': None}",174495
2015/03/26 23:00:00,2015-03-26T16:00:00,"{'bid': 10918.1, 'ask': 10918.9, 'lastTraded': None}","{'bid': 10890.3, 'ask': 10891.1, 'lastTraded': None}","{'bid': 10926.9, 'ask': 10927.7, 'lastTraded': None}","{'bid': 10800.6, 'ask': 10801.5, 'lastTraded': None}",165200
2015/03/27 23:00:00,2015-03-27T16:00:00,"{'bid': 10890.4, 'ask': 10891.2, 'lastTraded': None}","{'bid': 10885.8, 'ask': 10888.2, 'lastTraded': None}","{'bid': 10948.6, 'ask': 10949.4, 'lastTraded': None}","{'bid': 10877.1, 'ask': 10878.0, 'lastTraded': None}",40991
2015/03/30 00:00:00,2015-03-29T16:00:00,"{'bid': 10887.3, 'ask': 10889.8, 'lastTraded': None}","{'bid': 10816.6, 'ask': 10817.4, 'lastTraded': None}","{'bid': 10899.5, 'ask': 10909.5, 'lastTraded': None}","{'bid': 10809.7, 'ask': 10810.5, 'lastTraded': None}",124024
2015/03/31 00:00:00,2015-03-30T16:00:00,"{'bid': 10816.7, 'ask': 10817.5, 'lastTraded': None}","{'bid': 10741.3, 'ask': 10742.1, 'lastTraded': None}","{'bid': 10845.3, 'ask': 10846.1, 'lastTraded': None}","{'bid': 10712.8, 'ask': 10713.6, 'lastTraded': None}",149550
2015/04/01 00:00:00,2015-03-31T16:00:00,"{'bid': 10741.4, 'ask': 10742.2, 'lastTraded': None}","{'bid': 10766.9, 'ask': 10767.7, 'lastTraded': None}","{'bid': 10799.7, 'ask': 10800.7, 'lastTraded': None}","{'bid': 10718.3, 'ask': 10719.1, 'lastTraded': None}",163684
