snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2022/11/11 23:00:00,2022-11-11T16:00:00,"{'bid': 10325.8, 'ask': 10326.4, 'lastTraded': None}","{'bid': 10354.3, 'ask': 10355.2, 'lastTraded': None}","{'bid': 10363.7, 'ask': 10364.6, 'lastTraded': None}","{'bid': 10312.1, 'ask': 10313.0, 'lastTraded': None}",31617
2022/11/13 23:00:00,2022-11-13T16:00:00,"{'bid': 10361.3, 'ask': 10368.1, 'lastTraded': None}","{'bid': 10329.6, 'ask': 10330.5, 'lastTraded': None}","{'bid': 10361.3, 'ask': 10368.1, 'lastTraded': None}","{'bid': 10271.1, 'ask': 10272.0, 'lastTraded': None}",117319
2022/11/14 23:00:00,2022-11-14T16:00:00,"{'bid': 10329.7, 'ask': 10330.6, 'lastTraded': None}","{'bid': 10367.9, 'ask': 10368.8, 'lastTraded': None}","{'bid': 10481.2, 'ask': 10482.1, 'lastTraded': None}","{'bid': 10311.9, 'ask': 10312.6, 'lastTraded': None}",134834
2022/11/15 23:00:00,2022-11-15T16:00:00,"{'bid': 10367.8, 'ask': 10368.7, 'lastTraded': None}","{'bid': 10403.5, 'ask': 10404.1, 'lastTraded': None}","{'bid': 10438.1, 'ask': 10439.0, 'lastTraded': None}","{'bid': 10279.8, 'ask': 10280.7, 'lastTraded': None}",173511
2022/11/16 23:00:00,2022-11-16T16:00:00,"{'bid': 10403.3, 'ask': 10404.2, 'lastTraded': None}","{'bid': 10328.6, 'ask': 10329.2, 'lastTraded': None}","{'bid': 10412.4, 'ask': 10413.0, 'lastTraded': None}","{'bid': 10304.8, 'ask': 10305.6, 'lastTraded': None}",130686
2022/11/17 23:00:00,2022-11-17T16:00:00,"{'bid': 10328.9, 'ask': 10329.5, 'lastTraded': None}","{'bid': 10364.5, 'ask': 10365.1, 'lastTraded': None}","{'bid': 10395.8, 'ask': 10396.4, 'lastTraded': None}","{'bid': 10318.6, 'ask': 10319.5, 'lastTraded': None}",115279
2022/11/18 23:00:00,2022-11-18T16:00:00,"{'bid': 10364.2, 'ask': 10364.8, 'lastTraded': None}","{'bid': 10325.2, 'ask': 10326.1, 'lastTraded': None}","{'bid': 10371.6, 'ask': 10372.2, 'lastTraded': None}","{'bid': 10313.2, 'ask': 10314.1, 'lastTraded': None}",25286
2022/11/20 23:00:00,2022-11-20T16:00:00,"{'bid': 10320.9, 'ask': 10327.0, 'lastTraded': None}","{'bid': 10239.3, 'ask': 10239.9, 'lastTraded': None}","{'bid': 10332.8, 'ask': 10333.8, 'lastTraded': None}","{'bid': 10225.8, 'ask': 10226.7, 'lastTraded': None}",86125
2022/11/21 23:00:00,2022-11-21T16:00:00,"{'bid': 10239.4, 'ask': 10240.0, 'lastTraded': None}","{'bid': 10283.0, 'ask': 10283.9, 'lastTraded': None}","{'bid': 10290.6, 'ask': 10291.5, 'lastTraded': None}","{'bid': 10222.4, 'ask': 10223.0, 'lastTraded': None}",105469
2022/11/22 23:00:00,2022-11-22T16:00:00,"{'bid': 10283.1, 'ask': 10284.0, 'lastTraded': None}","{'bid': 10376.0, 'ask': 10376.6, 'lastTraded': None}","{'bid': 10383.6, 'ask': 10384.5, 'lastTraded': None}","{'bid': 10266.5, 'ask': 10267.3, 'lastTraded': None}",99805
