snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2015/05/09 00:00:00,2015-05-08T16:00:00,"{'bid': 11240.0, 'ask': 11240.8, 'lastTraded': None}","{'bid': 11200.3, 'ask': 11204.3, 'lastTraded': None}","{'bid': 11246.2, 'ask': 11247.0, 'lastTraded': None}","{'bid': 11196.7, 'ask': 11197.7, 'lastTraded': None}",20069
2015/05/11 00:00:00,2015-05-10T16:00:00,"{'bid': 11201.4, 'ask': 11204.0, 'lastTraded': None}","{'bid': 11141.8, 'ask': 11142.6, 'lastTraded': None}","{'bid': 11206.4, 'ask': 11207.9, 'lastTraded': None}","{'bid': 11130.6, 'ask': 11131.6, 'lastTraded': None}",131241
2015/05/12 00:00:00,2015-05-11T16:00:00,"{'bid': 11141.9, 'ask': 11142.7, 'lastTraded': None}","{'bid': 11237.7, 'ask': 11238.5, 'lastTraded': None}","{'bid': 11278.7, 'ask': 11279.9, 'lastTraded': None}","{'bid': 11133.0, 'ask': 11133.8, 'lastTraded': None}",159028
2015/05/13 00:00:00,2015-05-12T16:00:00,"{'bid': 11237.8, 'ask': 11238.6, 'lastTraded': None}","{'bid': 11371.4, 'ask': 11372.2, 'lastTraded': None}","{'bid': 11382.4, 'ask': 11383.2, 'lastTraded': None}","{'bid': 11202.2, 'ask': 11203.0, 'lastTraded': None}",161622
2015/05/14 00:00:00,2015-05-13T16:00:00,"{'bid': 11371.5, 'ask': 11372.3, 'lastTraded': None}","{'bid': 11367.3, 'ask': 11368.1, 'lastTraded': None}","{'bid': 11444.5, 'ask': 11445.3, 'lastTraded': None}","{'bid': 11339.6, 'ask': 11340.4, 'lastTraded': None}",173917
2015/05/15 00:00:00,2015-05-14T16:00:00,"{'bid': 11367.4, 'ask': 11368.2, 'lastTraded': None}","{'bid': 11427.8, 'ask': 11428.6, 'lastTraded': None}","{'bid': 11450.4, 'ask': 11451.2, 'lastTraded': None}","{'bid': 11323.5, 'ask': 11324.3, 'lastTraded': None}",173935
2015/05/16 00:00:00,2015-05-15T16:00:00,"{'bid': 11427.7, 'ask': 11428.5, 'lastTraded': None}","{'bid': 11448.6, 'ask': 11449.4, 'lastTraded': None}","{'bid': 11466.5, 'ask': 11467.8, 'lastTraded': None}","{'bid': 11411.9, 'ask': 11412.7, 'lastTraded': None}",21975
2015/05/18 00:00:00,2015-05-17T16:00:00,"{'bid': 11433.2, 'ask': 11443.2, 'lastTraded': None}","{'bid': 11353.9, 'ask': 11354.7, 'lastTraded': None}","{'bid': 11448.9, 'ask': 11451.4, 'lastTraded': None}","{'bid': 11336.7, 'ask': 11337.5, 'lastTraded': None}",118341
2015/05/19 00:00:00,2015-05-18T16:00:00,"{'bid': 11353.8, 'ask': 11354.6, 'lastTraded': None}","{'bid': 11150.0, 'ask': 11150.8, 'lastTraded': None}","{'bid': 11358.5, 'ask': 11359.3, 'lastTraded': None}","{'bid': 11118.2, 'ask': 11119.4, 'lastTraded': None}",192468
2015/05/20 00:00:00,2015-05-19T16:00:00,"{'bid': 11149.8, 'ask': 11150.6, 'lastTraded': None}","{'bid': 11080.0, 'ask': 11080.8, 'lastTraded': None}","{'bid': 11159.3, 'ask': 11160.1, 'lastTraded': None}","{'bid': 11061.8, 'ask': 11062.8, 'lastTraded': None}",171738
2015/05/21 00:00:00,2015-05-20T16:00:00,"{'bid': 11079.5, 'ask': 11080.3, 'lastTraded': None}","{'bid': 11125.6, 'ask': 11126.4, 'lastTraded': None}","{'bid': 11181.0, 'ask': 11182.1, 'lastTraded': None}","{'bid': 11069.6, 'ask': 11070.6, 'lastTraded': None}",206960
2015/05/22 00:00:00,2015-05-21T16:00:00,"{'bid': 11125.5, 'ask': 11126.3, 'lastTraded': None}","{'bid': 11032.7, 'ask': 11033.5, 'lastTraded': None}","{'bid': 11208.3, 'ask': 11209.3, 'lastTraded': None}","{'bid': 11001.9, 'ask': 11002.7, 'lastTraded': None}",184566
2015/05/23 00:00:00,2015-05-22T16:00:00,"{'bid': 11032.8, 'ask': 11033.6, 'lastTraded': None}","{'bid': 11010.9, 'ask': 11014.9, 'lastTraded': None}","{'bid': 11043.1, 'ask': 11044.2, 'lastTraded': None}","{'bid': 11002.8, 'ask': 11003.7, 'lastTraded': None}",25787
2015/05/25 00:00:00,2015-05-24T16:00:00,"{'bid': 11003.8, 'ask': 11006.3, 'lastTraded': None}","{'bid': 10969.9, 'ask': 10971.4, 'lastTraded': None}","{'bid': 11009.5, 'ask': 11010.3, 'lastTraded': None}","{'bid': 10958.8, 'ask': 10959.6, 'lastTraded': None}",63775
2015/05/26 00:00:00,2015-05-25T16:00:00,"{'bid': 10969.8, 'ask': 10971.3, 'lastTraded': None}","{'bid': 10875.7, 'ask': 10876.5, 'lastTraded': None}","{'bid': 10984.8, 'ask': 10986.0, 'lastTraded': None}","{'bid': 10872.2, 'ask': 10873.4, 'lastTraded': None}",179495
2015/05/27 00:00:00,2015-05-26T16:00:00,"{'bid': 10875.8, 'ask': 10876.6, 'lastTraded': None}","{'bid': 10887.1, 'ask': 10887.9, 'lastTraded': None}","{'bid': 10928.7, 'ask': 10929.9, 'lastTraded': None}","{'bid': 10818.8, 'ask': 10819.6, 'lastTraded': None}",184754
2015/05/28 00:00:00,2015-05-27T16:00:00,"{'bid': 10886.7, 'ask': 10887.5, 'lastTraded': None}","{'bid': 10912.9, 'ask': 10913.7, 'lastTraded': None}","{'bid': 10950.5, 'ask': 10951.3, 'lastTraded': None}","{'bid': 10866.5, 'ask': 10867.6, 'lastTraded': None}",190151
2015/05/29 00:00:00,2015-05-28T16:00:00,"{'bid': 10912.8, 'ask': 10913.6, 'lastTraded': None}","{'bid': 10993.6, 'ask': 10994.4, 'lastTraded': None}","{'bid': 11005.9, 'ask': 11006.7, 'lastTraded': None}","{'bid': 10885.6, 'ask': 10886.4, 'lastTraded': None}",192980
