snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2020/01/01 23:00:00,2020-01-01T16:00:00,"{'bid': 11208.4, 'ask': 11217.2, 'lastTraded': None}","{'bid': 11200.3, 'ask': 11200.9, 'lastTraded': None}","{'bid': 11224.4, 'ask': 11225.8, 'lastTraded': None}","{'bid': 11169.8, 'ask': 11170.5, 'lastTraded': None}",72134
2020/01/02 23:00:00,2020-01-02T16:00:00,"{'bid': 11200.2, 'ask': 11200.8, 'lastTraded': None}","{'bid': 11163.1, 'ask': 11163.7, 'lastTraded': None}","{'bid': 11202.9, 'ask': 11203.5, 'lastTraded': None}","{'bid': 11124.8, 'ask': 11125.4, 'lastTraded': None}",110396
2020/01/03 23:00:00,2020-01-03T16:00:00,"{'bid': 11163.2, 'ask': 11163.8, 'lastTraded': None}","{'bid': 11156.9, 'ask': 11161.9, 'lastTraded': None}","{'bid': 11179.7, 'ask': 11180.3, 'lastTraded': None}","{'bid': 11151.9, 'ask': 11153.0, 'lastTraded': None}",24798
2020/01/05 23:00:00,2020-01-05T16:00:00,"{'bid': 11154.6, 'ask': 11165.6, 'lastTraded': None}","{'bid': 11188.5, 'ask': 11189.1, 'lastTraded': None}","{'bid': 11205.4, 'ask': 11206.3, 'lastTraded': None}","{'bid': 11154.2, 'ask': 11157.6, 'lastTraded': None}",74606
2020/01/06 23:00:00,2020-01-06T16:00:00,"{'bid': 11188.6, 'ask': 11189.2, 'lastTraded': None}","{'bid': 11141.5, 'ask': 11142.1, 'lastTraded': None}","{'bid': 11198.5, 'ask': 11200.0, 'lastTraded': None}","{'bid': 11134.0, 'ask': 11134.6, 'lastTraded': None}",99020
2020/01/07 23:00:00,2020-01-07T16:00:00,"{'bid': 11141.4, 'ask': 11142.0, 'lastTraded': None}","{'bid': 11119.6, 'ask': 11120.2, 'lastTraded': None}","{'bid': 11167.9, 'ask': 11169.1, 'lastTraded': None}","{'bid': 11110.6, 'ask': 11112.1, 'lastTraded': None}",134885
2020/01/08 23:00:00,2020-01-08T16:00:00,"{'bid': 11119.5, 'ask': 11120.1, 'lastTraded': None}","{'bid': 11102.1, 'ask': 11102.7, 'lastTraded': None}","{'bid': 11125.8, 'ask': 11126.4, 'lastTraded': None}","{'bid': 11092.3, 'ask': 11092.9, 'lastTraded': None}",101392
2020/01/09 23:00:00,2020-01-09T16:00:00,"{'bid': 11102.0, 'ask': 11102.6, 'lastTraded': None}","{'bid': 11112.6, 'ask': 11113.2, 'lastTraded': None}","{'bid': 11117.7, 'ask': 11118.3, 'lastTraded': None}","{'bid': 11084.8, 'ask': 11085.4, 'lastTraded': None}",85932
2020/01/10 23:00:00,2020-01-10T16:00:00,"{'bid': 11112.7, 'ask': 11113.3, 'lastTraded': None}","{'bid': 11118.3, 'ask': 11123.3, 'lastTraded': None}","{'bid': 11129.0, 'ask': 11129.6, 'lastTraded': None}","{'bid': 11110.9, 'ask': 11111.5, 'lastTraded': None}",18351
2020/01/12 23:00:00,2020-01-12T16:00:00,"{'bid': 11114.8, 'ask': 11125.8, 'lastTraded': None}","{'bid': 11132.9, 'ask': 11133.5, 'lastTraded': None}","{'bid': 11137.9, 'ask': 11138.5, 'lastTraded': None}","{'bid': 11109.4, 'ask': 11112.9, 'lastTraded': None}",60071
2020/01/13 23:00:00,2020-01-13T16:00:00,"{'bid': 11132.8, 'ask': 11133.4, 'lastTraded': None}","{'bid': 11122.0, 'ask': 11122.6, 'lastTraded': None}","{'bid': 11146.7, 'ask': 11147.3, 'lastTraded': None}","{'bid': 11104.1, 'ask': 11104.7, 'lastTraded': None}",79984
