snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2012/02/17 23:00:00,2012-02-17T16:00:00,"{'bid': 13164.8, 'ask': 13165.6, 'lastTraded': None}","{'bid': 13140.5, 'ask': 13141.3, 'lastTraded': None}","{'bid': 13164.8, 'ask': 13165.6, 'lastTraded': None}","{'bid': 13138.5, 'ask': 13139.3, 'lastTraded': None}",18292
2012/02/19 23:00:00,2012-02-19T16:00:00,"{'bid': 13196.2, 'ask': 13199.2, 'lastTraded': None}","{'bid': 13267.1, 'ask': 13267.9, 'lastTraded': None}","{'bid': 13276.4, 'ask': 13277.2, 'lastTraded': None}","{'bid': 13172.0, 'ask': 13174.6, 'lastTraded': None}",64004
2012/02/20 23:00:00,2012-02-20T16:00:00,"{'bid': 13266.9, 'ask': 13267.7, 'lastTraded': None}","{'bid': 13264.0, 'ask': 13264.8, 'lastTraded': None}","{'bid': 13292.7, 'ask': 13293.9, 'lastTraded': None}","{'bid': 13186.6, 'ask': 13187.4, 'lastTraded': None}",101272
2012/02/21 23:00:00,2012-02-21T16:00:00,"{'bid': 13264.1, 'ask': 13264.9, 'lastTraded': None}","{'bid': 13241.1, 'ask': 13241.9, 'lastTraded': None}","{'bid': 13275.7, 'ask': 13276.5, 'lastTraded': None}","{'bid': 13211.0, 'ask': 13212.0, 'lastTraded': None}",96695
2012/02/22 23:00:00,2012-02-22T16:00:00,"{'bid': 13241.3, 'ask': 13242.1, 'lastTraded': None}","{'bid': 13313.2, 'ask': 13314.0, 'lastTraded': None}","{'bid': 13342.2, 'ask': 13343.0, 'lastTraded': None}","{'bid': 13231.1, 'ask': 13231.9, 'lastTraded': None}",91946
2012/02/23 23:00:00,2012-02-23T16:00:00,"{'bid': 13312.9, 'ask': 13313.7, 'lastTraded': None}","{'bid': 13463.1, 'ask': 13463.9, 'lastTraded': None}","{'bid': 13475.6, 'ask': 13476.4, 'lastTraded': None}","{'bid': 13302.7, 'ask': 13303.5, 'lastTraded': None}",105868
2012/02/24 23:00:00,2012-02-24T16:00:00,"{'bid': 13463.0, 'ask': 13463.8, 'lastTraded': None}","{'bid': 13449.9, 'ask': 13450.7, 'lastTraded': None}","{'bid': 13486.0, 'ask': 13486.8, 'lastTraded': None}","{'bid': 13446.2, 'ask': 13447.0, 'lastTraded': None}",25110
2012/02/26 23:00:00,2012-02-26T16:00:00,"{'bid': 13459.7, 'ask': 13463.7, 'lastTraded': None}","{'bid': 13394.2, 'ask': 13395.0, 'lastTraded': None}","{'bid': 13479.3, 'ask': 13480.9, 'lastTraded': None}","{'bid': 13365.8, 'ask': 13367.0, 'lastTraded': None}",109530
2012/02/27 23:00:00,2012-02-27T16:00:00,"{'bid': 13394.3, 'ask': 13395.1, 'lastTraded': None}","{'bid': 13423.3, 'ask': 13424.1, 'lastTraded': None}","{'bid': 13462.5, 'ask': 13463.8, 'lastTraded': None}","{'bid': 13381.3, 'ask': 13382.3, 'lastTraded': None}",148934
2012/02/28 23:00:00,2012-02-28T16:00:00,"{'bid': 13423.4, 'ask': 13424.2, 'lastTraded': None}","{'bid': 13375.7, 'ask': 13376.5, 'lastTraded': None}","{'bid': 13485.3, 'ask': 13486.7, 'lastTraded': None}","{'bid': 13346.4, 'ask': 13347.2, 'lastTraded': None}",158493
2012/02/29 23:00:00,2012-02-29T16:00:00,"{'bid': 13375.9, 'ask': 13376.7, 'lastTraded': None}","{'bid': 13332.1, 'ask': 13332.9, 'lastTraded': None}","{'bid': 13392.9, 'ask': 13393.7, 'lastTraded': None}","{'bid': 13281.9, 'ask': 13282.7, 'lastTraded': None}",179184
2012/03/01 23:00:00,2012-03-01T16:00:00,"{'bid': 13332.2, 'ask': 13333.0, 'lastTraded': None}","{'bid': 13203.3, 'ask': 13204.1, 'lastTraded': None}","{'bid': 13336.9, 'ask': 13338.0, 'lastTraded': None}","{'bid': 13186.3, 'ask': 13187.6, 'lastTraded': None}",143234
2012/03/02 23:00:00,2012-03-02T16:00:00,"{'bid': 13203.4, 'ask': 13204.2, 'lastTraded': None}","{'bid': 13199.3, 'ask': 13200.1, 'lastTraded': None}","{'bid': 13211.2, 'ask': 13212.7, 'lastTraded': None}","{'bid': 13187.2, 'ask': 13188.4, 'lastTraded': None}",32952
2012/03/04 23:00:00,2012-03-04T16:00:00,"{'bid': 13190.2, 'ask': 13193.2, 'lastTraded': None}","{'bid': 13232.0, 'ask': 13232.8, 'lastTraded': None}","{'bid': 13241.0, 'ask': 13241.8, 'lastTraded': None}","{'bid': 13159.4, 'ask': 13160.7, 'lastTraded': None}",113986
2012/03/05 23:00:00,2012-03-05T16:00:00,"{'bid': 13231.9, 'ask': 13232.7, 'lastTraded': None}","{'bid': 13115.2, 'ask': 13116.0, 'lastTraded': None}","{'bid': 13238.2, 'ask': 13239.0, 'lastTraded': None}","{'bid': 13112.6, 'ask': 13113.4, 'lastTraded': None}",139173
